cut,variant,kind,ALL,BULL_VOLATILE,BEAR,BULL_CALM
1,raw,real,0.1812575386967679,0.18066915144872683,0.3084979155094025,0.07090995590624276
1,raw,placebo,0.1211568489484608,0.13442272741634284,0.22141898192569823,-0.0036876526428626676
1,neutral,real,0.08628789575440553,0.09077943549393862,0.2603662237823015,-0.07929768259125419
1,neutral,placebo,0.10664923163550767,0.11185956997421814,0.18700725602991317,0.021553636353589936
2,raw,real,-0.03466610981527189,-0.08987163567919049,,0.020067573947245683
2,raw,placebo,-0.027199072510796278,-0.0724213470858917,,0.01763668689699063
2,neutral,real,-0.03415146295834374,-0.06058124539068667,,-0.007947576102345616
2,neutral,placebo,-0.0187747913826888,-0.05655847092632636,,0.01868595072895186
3,raw,real,-0.0028732715211948483,-0.009235436346232214,0.14711793093708758,-0.03270383590862385
3,raw,placebo,-0.013633401914131017,-0.02031881429940996,0.14491305046530542,-0.04731591096133899
3,neutral,real,-0.03498027250724177,-0.04211886458801509,0.14432833858455607,-0.09598317985478381
3,neutral,placebo,-0.019181928690033347,-0.025058022744499992,0.13677636608895102,-0.09029956318267925
4,raw,real,0.12572448599169042,0.1582549110823479,,0.09791621938193489
4,raw,placebo,0.11142361469614216,0.1557963869165612,,0.07349205134642915
4,neutral,real,0.10434571251216056,0.16085805047823362,,0.0560367784443884
4,neutral,placebo,0.12530978253955363,0.18184577530549234,,0.07698062743318666
5,raw,real,0.0029913649606923103,0.0506104949047804,,-0.025251705213042694
5,raw,placebo,0.01163288178303395,0.07078461908838886,,-0.02345021758427997
5,neutral,real,0.013190682723039835,0.05703603066226335,,-0.012814144330568603
5,neutral,placebo,0.01431466424293651,0.05881170234130269,,-0.012076682491266873
6,raw,real,0.10853445765046277,0.09306060996501386,0.44509887601551074,0.060358603047375704
6,raw,placebo,0.06825327698375512,0.04213921788805522,0.3807431162645944,0.03086537279217333
6,neutral,real,0.07494254088875943,0.05857085604042102,0.3569043449266816,0.03671265884995308
6,neutral,placebo,0.09963478190053861,0.0763663476906116,0.43546487819627705,0.05645675548091299
