cut,variant,kind,ALL,BULL_VOLATILE,BEAR,BULL_CALM
1,raw,real,0.18247956996856338,0.18076853624182018,0.31950773793482673,0.06661723524406281
1,raw,placebo,0.11850187916096279,0.13513208216149006,0.19277785005857762,0.007239664489606472
1,trendscan,real,0.09619330332423151,0.08673294979310807,0.24458235554927835,-0.008278486887909027
1,trendscan,placebo,0.08082619897459736,0.09720883201680124,0.18611877113140674,-0.057047331719877546
2,raw,real,-0.013525740324200128,-0.0782420262662837,,0.05063741496880582
2,raw,placebo,-0.02027636805583382,-0.07096706121007107,,0.02998107131076037
2,trendscan,real,-0.031408085431235,-0.088268202514587,,0.024966047745421677
2,trendscan,placebo,-0.014787946953317057,-0.06709942272680698,,0.0370764221896302
3,raw,real,0.013247938433095751,0.006814561601753428,0.17582242913284216,-0.04417759521594944
3,raw,placebo,-0.017770365378173954,-0.024248083656295577,0.12911277873279153,-0.033562009067489976
3,trendscan,real,0.005353843342460315,0.0035498579652770536,0.0749192837559472,-0.07069355097906492
3,trendscan,placebo,-0.010173560756313252,-0.01570212168434994,0.1085428709173164,-0.00704020959439783
4,raw,real,0.08953815535074382,0.13007147426971313,,0.05488870530710873
4,raw,placebo,0.06271498353910653,0.10745347749900606,,0.024470787089514997
4,trendscan,real,0.0754539179575329,0.10014231899266114,,0.05434931707266523
4,trendscan,placebo,-0.021215510050275943,-0.01567875436546455,,-0.025948543135679226
5,raw,real,0.00770736648340143,0.03557938289290145,,-0.008823622559474449
5,raw,placebo,0.024288364592152046,0.07645770851875944,,-0.006653453185008203
5,trendscan,real,0.022553029129968226,0.017973405821850162,,0.02526921950581756
5,trendscan,placebo,0.005934962079866605,0.025143983464565776,,-0.005457974741403242
6,raw,real,0.12330519119498828,0.10696219919178236,0.4652255649915731,0.07475199695070399
6,raw,placebo,0.10571556336397131,0.09025736678060725,0.4307527229696318,0.059511174421350975
6,trendscan,real,0.11266021071806077,0.07975832698831384,0.401179654681011,0.08363460861802054
6,trendscan,placebo,0.04191746528656494,0.019442345647488892,0.17296011453025065,0.03344145972222899
