date,n_block_events,n_unique_candidates,n_selected,n_runs
2026-05-20,140,70,0,2
2026-05-21,69,69,0,1
2026-05-22,65,68,3,1
2026-05-30,709,71,0,10
2026-06-01,646,72,0,9
2026-06-02,74,74,0,1
2026-06-03,76,76,0,1
2026-06-04,77,77,0,1
2026-06-09,168,84,0,2
2026-06-10,84,84,0,1
2026-06-11,83,83,0,1
2026-06-22,81,81,0,1
2026-06-23,158,81,0,2
2026-06-24,73,73,0,1
2026-06-25,76,76,0,1
2026-06-26,79,79,0,1
2026-06-29,129,43,0,3
2026-06-30,83,83,0,1
2026-07-01,83,83,0,1
2026-07-02,83,83,0,1
2026-07-06,35,35,0,1
2026-07-07,33,33,0,1
2026-07-10,85,85,0,1
2026-07-13,81,81,0,1
2026-07-16,5,5,0,1
2026-07-17,5,5,0,1
2026-07-20,76,76,0,1
2026-07-21,74,74,0,1
2026-07-22,73,73,0,1
2026-07-23,72,72,0,1
2026-07-24,72,72,0,1
2026-07-27,80,80,0,1
2026-07-28,235,80,0,3
2026-07-29,78,78,0,1
2026-07-30,77,77,0,1
2026-07-31,79,79,0,1
2026-08-03,80,80,0,1
2026-08-04,256,88,0,3
2026-08-05,84,84,0,1
2026-08-06,338,85,0,4
2026-08-07,86,86,0,1
