date,sector,arm,ticker,weight
2024-01-03,software,panel,ZS,0.333333
2024-01-03,software,panel,SHOP,0.333333
2024-01-03,software,panel,NOW,0.333333
2024-01-04,software,panel,ZS,0.333333
2024-01-04,software,panel,SHOP,0.333333
2024-01-04,software,panel,NOW,0.333333
2024-01-05,software,panel,ZS,0.333333
2024-01-05,software,panel,SHOP,0.333333
2024-01-05,software,panel,NOW,0.333333
2024-02-02,software,panel,NET,0.333333
2024-02-02,software,panel,DOCU,0.333333
2024-02-02,software,panel,PLTR,0.333333
2024-02-05,software,panel,DOCU,0.333333
2024-02-05,software,panel,OKTA,0.333333
2024-02-05,software,panel,NET,0.333333
2024-02-06,software,panel,DOCU,0.333333
2024-02-06,software,panel,OKTA,0.333333
2024-02-06,software,panel,PLTR,0.333333
2024-02-07,software,panel,OKTA,0.333333
2024-02-07,software,panel,DOCU,0.333333
2024-02-07,software,panel,NET,0.333333
2024-02-08,software,panel,OKTA,0.333333
2024-02-08,software,panel,DOCU,0.333333
2024-02-08,software,panel,FTNT,0.333333
2024-02-09,software,panel,OKTA,0.333333
2024-02-09,software,panel,NET,0.333333
2024-02-09,software,panel,FTNT,0.333333
2024-02-12,software,panel,OKTA,0.333333
2024-02-12,software,panel,FTNT,0.333333
2024-02-12,software,panel,DOCU,0.333333
2024-02-13,software,panel,OKTA,0.333333
2024-02-13,software,panel,FTNT,0.333333
2024-02-13,software,panel,DOCU,0.333333
2024-02-14,software,panel,OKTA,0.333333
2024-02-14,software,panel,NET,0.333333
2024-02-14,software,panel,DOCU,0.333333
2024-02-15,software,panel,OKTA,0.333333
2024-02-15,software,panel,TEAM,0.333333
2024-02-15,software,panel,DOCU,0.333333
2024-02-16,software,panel,TEAM,0.333333
2024-02-16,software,panel,APP,0.333333
2024-02-16,software,panel,DOCU,0.333333
2024-02-20,software,panel,APP,0.333333
2024-02-20,software,panel,TEAM,0.333333
2024-02-20,software,panel,FTNT,0.333333
2024-02-21,software,panel,APP,0.333333
2024-02-21,software,panel,TEAM,0.333333
2024-02-21,software,panel,NET,0.333333
2024-02-22,software,panel,APP,0.333333
2024-02-22,software,panel,TEAM,0.333333
2024-02-22,software,panel,CRWD,0.333333
2024-02-23,software,panel,APP,0.333333
2024-02-23,software,panel,PANW,0.333333
2024-02-23,software,panel,FTNT,0.333333
2024-02-26,software,panel,APP,0.333333
2024-02-26,software,panel,PANW,0.333333
2024-02-26,software,panel,FTNT,0.333333
2024-02-27,software,panel,APP,0.333333
2024-02-27,software,panel,FTNT,0.333333
2024-02-27,software,panel,TEAM,0.333333
2024-02-28,software,panel,APP,0.333333
2024-02-28,software,panel,ZM,0.333333
2024-02-28,software,panel,TEAM,0.333333
2024-02-29,software,panel,APP,0.333333
