ticker,label
AAPL,giant_tech
ABBV,healthcare
ADBE,software
ADI,ai_chip
AEP,utility
AFRM,finance
AMAT,ai_chip
AMD,ai_chip
AMZN,giant_tech
ANET,datacenter_hw
APH,industrial
APP,software
ASML,ai_chip
ATI,industrial
AVGO,ai_chip
AXP,finance
BA,industrial
BAC,finance
BLK,finance
BMY,healthcare
BWXT,industrial
C,finance
CAT,industrial
CME,finance
CMG,consumer
COHR,datacenter_hw
COIN,finance
COST,consumer
CRM,software
CRWD,software
CRWV,datacenter_hw
CSCO,datacenter_hw
CVS,healthcare
CVX,energy
D,utility
DDOG,software
DE,industrial
DELL,datacenter_hw
DLR,datacenter_hw
DOCU,software
DUK,utility
EME,industrial
EMR,industrial
EOG,energy
EQIX,datacenter_hw
ESTC,software
ETN,industrial
FDX,industrial
FTNT,software
GE,industrial
GILD,healthcare
GLD,commodity
GLW,datacenter_hw
GM,consumer
GOOG,giant_tech
GRMN,consumer
GS,finance
GTLB,software
HD,consumer
HLT,consumer
HON,industrial
HOOD,finance
HPE,datacenter_hw
HUBS,software
IBM,datacenter_hw
INTC,ai_chip
INTU,software
JNJ,healthcare
JPM,finance
KLAC,ai_chip
KMI,energy
KO,consumer
LHX,industrial
LITE,datacenter_hw
LLY,healthcare
LMT,industrial
LOW,consumer
LRCX,ai_chip
MA,finance
MCD,consumer
MCHP,ai_chip
MDB,software
MDT,healthcare
META,giant_tech
MMM,industrial
MO,consumer
MPWR,ai_chip
MRK,healthcare
MRVL,ai_chip
MS,finance
MSFT,giant_tech
MU,ai_chip
NEE,utility
NEM,commodity
NET,software
NFLX,giant_tech
NOW,software
NVDA,ai_chip
NVO,healthcare
NVTS,ai_chip
NXPI,ai_chip
OKTA,software
ON,ai_chip
ORCL,giant_tech
OXY,energy
PANW,software
PCTY,software
PG,consumer
PGR,finance
PH,industrial
PLTR,software
PM,consumer
PNC,finance
PYPL,finance
QCOM,ai_chip
RBLX,software
RKLB,industrial
ROST,consumer
RTX,industrial
SCHW,finance
SHOP,software
SMCI,datacenter_hw
SNOW,software
SO,utility
SOFI,finance
SPCX,industrial
SPG,real_estate
SPOT,software
SPY,benchmark
T,telecom
TEAM,software
TJX,consumer
TLT,defensive_bonds
TMO,healthcare
TSLA,giant_tech
TSM,ai_chip
TXN,ai_chip
UNH,healthcare
UNP,industrial
V,finance
VLO,energy
VRT,datacenter_hw
VTR,real_estate
WDAY,software
WDC,datacenter_hw
WELL,real_estate
WFC,finance
WMB,energy
WMT,consumer
XLE,energy
XLF,finance
XLI,industrial
XLK,giant_tech
XLU,utility
XLV,healthcare
XLY,consumer
XOM,energy
ZM,software
ZS,software
