date,sector,n_scored,n_priced,topk_tickers,topk_fwd5,ew_fwd5,edge_bp
2026-05-20,ai_chip,8,8,TXN MPWR,0.043875,0.075445,-315.7
2026-05-20,consumer,10,10,MCD PM,-0.030769,0.002354,-331.2
2026-05-20,datacenter_hw,4,4,HPE EQIX,0.067293,0.078247,-109.5
2026-05-20,finance,14,14,AFRM WFC JPM,0.0271,0.000554,265.5
2026-05-20,industrial,10,10,LHX PH EMR,0.025903,0.038795,-128.9
2026-05-21,ai_chip,7,7,TXN MPWR,0.013804,0.069817,-560.1
2026-05-21,consumer,10,10,MCD GM,0.030287,-0.010396,406.8
2026-05-21,datacenter_hw,4,4,HPE DLR,0.12251,0.103152,193.6
2026-05-21,finance,14,14,WFC BAC AFRM,0.039928,0.005256,346.7
2026-05-21,industrial,10,10,LHX PH HON,0.022823,0.033763,-109.4
2026-05-22,ai_chip,7,7,TXN MPWR,-0.040802,0.070397,-1112.0
2026-05-22,consumer,10,10,MCD PM,-0.054115,-0.031801,-223.1
2026-05-22,datacenter_hw,4,4,HPE DLR,0.107028,0.112368,-53.4
2026-05-22,finance,14,14,WFC BAC AFRM,0.040796,-0.001623,424.2
2026-05-22,industrial,10,10,LHX UNP PH,-0.020588,0.014775,-353.6
2026-06-01,ai_chip,10,10,TXN MPWR,0.001521,0.009399,-78.8
2026-06-01,consumer,10,10,MCD PM,0.016256,0.024721,-84.6
2026-06-01,datacenter_hw,4,4,ANET EQIX,-0.036137,-0.052817,166.8
2026-06-01,finance,12,12,AFRM JPM BLK,-0.024338,-0.00835,-159.9
2026-06-01,industrial,10,10,LHX FDX PH,0.00934,0.000205,91.4
2026-06-01,software,4,4,CRWD FTNT PLTR,-0.11204,-0.10748,-45.6
2026-06-02,ai_chip,10,10,MPWR TXN,-0.060246,-0.030598,-296.5
2026-06-02,consumer,10,10,PM MCD,0.024563,0.034692,-101.3
2026-06-02,datacenter_hw,4,4,ANET IBM,-0.144653,-0.078227,-664.3
2026-06-02,finance,12,12,AFRM CME JPM,-0.005765,0.004295,-100.6
2026-06-02,industrial,10,10,LHX PH HON,0.001318,0.007019,-57.0
2026-06-02,software,4,4,CRWD FTNT ZM,-0.122046,-0.124557,25.1
2026-06-03,ai_chip,10,10,MPWR TXN,-0.107228,-0.068254,-389.7
2026-06-03,consumer,11,11,PM MCD,0.036808,0.031621,51.9
2026-06-03,datacenter_hw,4,4,ANET EQIX,-0.082786,-0.072313,-104.7
2026-06-03,finance,12,12,AFRM CME JPM,0.008274,0.018233,-99.6
2026-06-03,industrial,10,10,LHX PH HON,-0.015359,-0.020719,53.6
2026-06-03,software,4,4,CRWD FTNT PLTR,-0.089929,-0.09626,63.3
2026-06-04,ai_chip,10,10,MPWR TXN,-0.032617,0.017292,-499.1
2026-06-04,consumer,11,11,MCD PM,0.038607,0.028853,97.5
2026-06-04,datacenter_hw,4,4,ANET EQIX,-0.050048,-0.055089,50.4
2026-06-04,finance,12,12,AFRM CME JPM,0.001765,0.002308,-5.4
2026-06-04,industrial,10,10,LHX HON PH,0.017721,0.004449,132.7
2026-06-04,software,4,4,CRWD FTNT PLTR,-0.048025,-0.066648,186.2
2026-06-09,ai_chip,10,10,MU AMAT,0.114471,0.037283,771.9
2026-06-09,consumer,12,12,GM WMT,0.001581,0.015853,-142.7
2026-06-09,datacenter_hw,3,3,IBM EQIX,0.0044,0.015148,-107.5
2026-06-09,finance,14,14,AFRM SOFI BLK,0.087406,0.054406,330.0
2026-06-09,industrial,12,12,HON EMR LMT,0.039926,0.028054,118.7
2026-06-09,software,4,4,SPOT PLTR ZM,-0.031149,-0.004764,-263.8
2026-06-10,ai_chip,10,10,MU AMAT,0.181313,0.080325,1009.9
2026-06-10,consumer,12,12,GM WMT,-0.009066,-0.006392,-26.7
2026-06-10,datacenter_hw,3,3,IBM EQIX,0.005792,0.017754,-119.6
2026-06-10,finance,14,14,AFRM SOFI BLK,0.08999,0.057824,321.7
2026-06-10,industrial,12,12,HON EMR LMT,0.070342,0.061727,86.2
2026-06-10,software,4,4,SPOT PLTR ZM,-0.053704,-0.022318,-313.9
2026-06-11,ai_chip,8,8,MU AMAT,0.127675,0.075612,520.6
2026-06-11,consumer,12,12,ROST TJX,-0.02665,-0.012439,-142.1
2026-06-11,datacenter_hw,4,4,IBM CSCO,-0.056242,-0.007418,-488.2
2026-06-11,finance,13,13,PYPL V SOFI,0.043617,0.030028,135.9
2026-06-11,industrial,12,12,ETN HON EMR,0.05897,0.019097,398.7
2026-06-11,software,4,4,PLTR ZM SPOT,-0.040447,-0.022957,-174.9
2026-06-22,ai_chip,7,7,MU AVGO,-0.052377,-0.068929,165.5
2026-06-22,consumer,12,12,PM MO,0.065002,-0.004626,696.3
2026-06-22,datacenter_hw,3,3,CSCO IBM,0.035349,0.015111,202.4
2026-06-22,finance,13,13,SCHW CME MS,-0.064109,-0.013616,-504.9
2026-06-22,industrial,11,11,CAT LMT LHX,0.013417,-0.003077,164.9
2026-06-22,software,4,4,CRWD ZM PLTR,0.029811,0.023964,58.5
2026-06-23,ai_chip,6,6,MU AVGO,0.04558,0.046605,-10.2
2026-06-23,consumer,12,12,PM MO,0.012745,-0.016229,289.7
2026-06-23,datacenter_hw,3,3,CSCO IBM,0.015476,-0.016042,315.2
2026-06-23,finance,13,13,SCHW CME MS,-0.057762,-0.016314,-414.5
2026-06-23,industrial,11,11,LMT CAT BA,0.03078,0.020219,105.6
2026-06-23,software,5,5,PANW CRWD ZM,0.097133,0.059822,373.1
2026-06-24,ai_chip,6,6,MU ASML,0.015029,-0.007233,222.6
2026-06-24,consumer,12,12,PM MO,-0.002643,-0.031374,287.3
2026-06-24,datacenter_hw,3,3,CSCO IBM,0.032925,-0.00689,398.2
2026-06-24,finance,12,12,CME SCHW MS,0.002905,0.012925,-100.2
2026-06-24,industrial,11,11,CAT LMT ETN,0.025803,0.011482,143.2
2026-06-24,software,5,5,CRWD PANW ZM,0.145597,0.116588,290.1
2026-06-25,ai_chip,6,6,MU ASML,-0.117573,-0.066554,-510.2
2026-06-25,consumer,12,12,PM MO,0.005918,0.00822,-23.0
2026-06-25,datacenter_hw,4,4,CSCO ANET,-0.042894,-0.016062,-268.3
2026-06-25,finance,13,13,SCHW MS GS,0.003655,0.022146,-184.9
2026-06-25,industrial,11,11,LMT CAT ETN,-0.01944,-0.005649,-137.9
2026-06-25,software,5,5,CRWD PANW ZM,0.127447,0.137832,-103.9
2026-06-26,ai_chip,6,6,MU AVGO,-0.052937,-0.003882,-490.6
2026-06-26,consumer,12,12,TJX COST,-0.014456,-0.001795,-126.6
2026-06-26,datacenter_hw,4,4,CSCO ANET,0.052515,0.026927,255.9
2026-06-26,finance,14,14,CME JPM SOFI,0.044666,0.044987,-3.2
