artifact,episode_id,start,end,n_days,tail_start,tail_end,n_tail_days,tail_clipped,within_wf_2024,within_aux_2022
prod_gmm,1,2018-12-24,2018-12-26,2,2018-12-27,2019-01-10,10,0,0,0
prod_gmm,2,2020-02-27,2020-04-24,41,2020-04-27,2020-05-08,10,0,0,0
prod_gmm,3,2022-05-18,2022-05-18,1,2022-05-19,2022-06-02,10,0,0,1
prod_gmm,4,2022-06-13,2022-06-23,8,2022-06-24,2022-07-08,10,0,0,1
prod_gmm,5,2025-04-04,2025-05-07,23,2025-05-08,2025-05-21,10,0,1,1
sim_hmm,1,2018-02-09,2018-02-27,12,2018-02-28,2018-03-13,10,0,0,0
sim_hmm,2,2018-12-19,2019-01-22,22,2019-01-23,2019-02-05,10,0,0,0
sim_hmm,3,2020-02-28,2020-05-07,49,2020-05-08,2020-05-21,10,0,0,0
sim_hmm,4,2020-05-29,2020-06-11,10,2020-06-12,2020-06-25,10,0,0,0
sim_hmm,5,2020-09-24,2020-09-24,1,2020-09-25,2020-10-08,10,0,0,0
sim_hmm,6,2020-11-11,2020-11-23,9,2020-11-24,2020-12-08,10,0,0,0
sim_hmm,7,2022-01-25,2022-02-04,9,2022-02-07,2022-02-18,10,0,0,0
sim_hmm,8,2022-05-09,2022-06-08,22,2022-06-09,2022-06-23,10,0,0,1
sim_hmm,9,2022-06-14,2022-07-07,16,2022-07-08,2022-07-21,10,0,0,1
sim_hmm,10,2022-08-01,2022-08-04,4,2022-08-05,2022-08-18,10,0,0,1
sim_hmm,11,2022-09-06,2022-09-08,3,2022-09-09,2022-09-22,10,0,0,1
sim_hmm,12,2022-09-26,2022-10-05,8,2022-10-06,2022-10-19,10,0,0,1
sim_hmm,13,2022-10-26,2022-11-03,7,2022-11-04,2022-11-17,10,0,0,1
sim_hmm,14,2025-03-12,2025-03-14,3,2025-03-17,2025-03-28,10,0,1,1
sim_hmm,15,2025-04-07,2025-05-14,27,2025-05-15,2025-05-29,10,0,1,1
sim_hmm,16,2025-05-20,2025-05-20,1,2025-05-21,2025-06-04,10,0,1,1
sim_hmm,17,2026-04-16,2026-04-27,8,2026-04-28,2026-05-11,10,0,0,0
