ticker,in_corpus,in_watchlist,is_etf,ohlcv_exists,ohlcv_rows_window,ohlcv_first,ohlcv_last,ohlcv_coverage,ohlcv_missing_days,ohlcv_longest_gap_td,active,sec_rows_window,sec_first,sec_last,sec_fpe_latest,sec_fpe_age_days,sec_null_fund_cols_last,earn_file_exists,earn_rows_total,earn_rows_window,earn_last_quarter,earn_age_days,sent_file_exists,sent_rows_window,sent_first,sent_last,sent_days_window,sent_age_days,class,reasons
AAPL,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-28,132.0,0.0,True,26,15,2026-07-30,8.0,True,1026,2023-01-03,2026-08-07,1026,0.0,COMPLETE,
ABBV,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-31,129.0,0.0,True,26,15,2026-07-31,7.0,True,612,2023-01-04,2026-08-06,612,1.0,COMPLETE,
ABNB,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,21,13,2026-02-12,176.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
ABT,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,14,2026-04-16,113.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
ADBE,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-05-29,70.0,0.0,True,25,14,2026-06-11,57.0,True,604,2023-01-08,2026-08-06,604,1.0,COMPLETE,
ADI,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-05-02,97.0,0.0,True,25,14,2026-05-20,79.0,True,320,2023-01-04,2026-08-04,320,3.0,COMPLETE,
AEP,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,0,,,,,,True,26,15,2026-07-30,8.0,True,249,2023-01-06,2026-08-05,249,2.0,DEGRADED,SEC fundamentals absent (all 5 fund cols median-imputed at panel build)
AES,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,13,2026-03-02,158.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
AFRM,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-31,129.0,1.0,True,22,14,2026-05-07,92.0,True,405,2023-01-03,2026-07-24,405,14.0,COMPLETE,
AGCO,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,13,2026-02-05,183.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
AIG,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,3.0,True,24,13,2026-02-10,178.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
AKAM,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,13,2026-02-19,169.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
ALL,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,3.0,True,24,13,2026-02-04,184.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
ALNY,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,14,2026-04-30,99.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
AMAT,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-04-26,103.0,0.0,True,25,14,2026-05-14,85.0,True,554,2023-01-06,2026-08-07,554,0.0,COMPLETE,
AMD,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-28,132.0,0.0,True,26,15,2026-08-04,3.0,True,957,2023-01-05,2026-08-07,957,0.0,COMPLETE,
AMGN,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,13,2026-02-03,185.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
AMT,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,13,2026-02-24,164.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
AMZN,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-31,129.0,0.0,True,26,15,2026-07-30,8.0,True,1031,2023-01-02,2026-08-07,1031,0.0,COMPLETE,
ANET,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-31,129.0,0.0,True,26,15,2026-08-04,3.0,True,393,2023-01-17,2026-08-06,393,1.0,COMPLETE,
AON,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,3.0,True,24,13,2026-01-30,189.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
APA,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,3.0,True,24,13,2026-02-25,163.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
APD,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,13,2026-01-30,189.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
APH,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-31,129.0,0.0,True,25,15,2026-07-29,9.0,True,261,2023-01-23,2026-08-06,261,1.0,COMPLETE,
APO,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,3.0,True,24,13,2026-02-09,179.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
APP,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-31,129.0,0.0,True,22,15,2026-08-05,2.0,True,399,2023-01-05,2026-08-07,399,0.0,COMPLETE,
APPF,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,14,2026-04-23,106.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
APTV,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,2.0,True,24,13,2026-02-02,186.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
ARE,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,3.0,True,25,13,2026-01-26,193.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
ARES,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,3.0,True,24,14,2026-05-01,98.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
ASML,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,0,,,,,,True,26,15,2026-07-13,25.0,True,529,2023-01-06,2026-08-06,529,1.0,DEGRADED,SEC fundamentals absent (all 5 fund cols median-imputed at panel build)
ATI,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-29,131.0,0.0,True,25,15,2026-08-06,1.0,True,123,2023-02-02,2026-08-07,123,0.0,COMPLETE,
AVB,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-03-31,129.0,3.0,True,25,14,2026-04-27,102.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
AVGO,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-05-03,96.0,0.0,True,25,14,2026-06-03,65.0,True,843,2023-01-09,2026-08-07,843,0.0,COMPLETE,
AXP,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-31,129.0,1.0,True,25,15,2026-07-24,14.0,True,544,2023-01-05,2026-08-03,544,4.0,COMPLETE,
AYI,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,902,2023-01-03,2026-08-07,2026-05-31,68.0,2.0,True,24,14,2026-04-02,127.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
AZN,True,False,False,True,842,2023-01-03,2026-05-12,1.0,0,0,False,0,,,,,,True,24,12,2025-11-06,274.0,False,0,,,0,,BROKEN,inactive: OHLCV ends 2026-05-12 (harvest/listing ended; no current bar to score)
BA,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-31,129.0,0.0,True,25,15,2026-07-28,10.0,True,936,2023-01-03,2026-08-07,936,0.0,COMPLETE,
BAC,True,True,False,True,902,2023-01-03,2026-08-07,1.0,0,0,True,902,2023-01-03,2026-08-07,2026-03-31,129.0,1.0,True,25,15,2026-07-14,24.0,True,745,2023-01-03,2026-08-06,745,1.0,COMPLETE,
