date,skip,n_live,n_replay,n_intersection,n_labelled,live_only,replay_only
2026-05-20,,76,153.0,76.0,76.0,,ABBV|ADBE|ADI|AMD|ANET|APH|APP|ATI|BA|BWXT|CMG|COHR|COIN|CRM|CSCO|CVX|DDOG|DE|DELL|DOCU|DUK|EME|ESTC|GLW|GRMN|GS|HD|HUBS|INTC|INTU|LITE|LLY|LMT|LOW|MA|MCHP|MDB|MDT|MRVL|NET|NFLX|NOW|NVDA|NVO|NXPI|OKTA|ON|ORCL|OXY|PANW|PCTY|PGR|PLTR|QCOM|RBLX|RTX|SHOP|SMCI|SNOW|SOFI|SPOT|SPY|TEAM|TLT|TMO|TSLA|TSM|VRT|WDAY|WDC|WMT|XLI|XLV|XLY|XOM|ZM|ZS
2026-05-21,,75,153.0,75.0,75.0,,ABBV|ADBE|ADI|AMD|ANET|APH|APP|ATI|BA|BWXT|CMG|COHR|COIN|CRM|CSCO|CVX|DDOG|DE|DELL|DOCU|DUK|EME|ESTC|GLW|GRMN|GS|HD|HUBS|INTC|INTU|LITE|LLY|LMT|LOW|LRCX|MA|MCHP|MDB|MDT|MRVL|NET|NFLX|NOW|NVDA|NVO|NXPI|OKTA|ON|ORCL|OXY|PANW|PCTY|PGR|PLTR|QCOM|RBLX|RTX|SHOP|SMCI|SNOW|SOFI|SPOT|SPY|TEAM|TLT|TMO|TSLA|TSM|VRT|WDAY|WDC|WMT|XLI|XLV|XLY|XOM|ZM|ZS
2026-05-30,labelled<k,75,0.0,0.0,0.0,AAPL|ADI|AEP|AFRM|AMAT|AMZN|ANET|ASML|AVGO|AXP|BLK|BMY|C|CME|CRWD|CVS|DLR|EMR|EOG|EQIX|ETN|FDX|FTNT|GE|GLD|GM|GOOG|HLT|HON|IBM|JNJ|JPM|KLAC|KMI|KO|LHX|LRCX|MCD|META|MMM|MO|MPWR|MRK|MS|MSFT|MU|NEE|NEM|NVDA|PG|PH|PLTR|PM|PNC|PYPL|ROST|SCHW|SO|SPG|T|TJX|TSM|TXN|UNH|UNP|V|VLO|VTR|WELL|WMB|XLE|XLF|XLK|XLU|ZM,
2026-06-01,,77,153.0,77.0,77.0,,ABBV|ADBE|AMD|ANET|APH|APP|ATI|AVGO|BA|BAC|BWXT|CMG|COHR|COIN|CRM|CSCO|CVX|D|DDOG|DE|DELL|DOCU|DUK|EME|ESTC|GLW|GRMN|GS|HD|HPE|HUBS|INTC|INTU|LITE|LLY|LMT|LOW|MA|MCHP|MDB|MDT|MRVL|NET|NFLX|NOW|NVO|NXPI|OKTA|ON|OXY|PANW|PCTY|PGR|QCOM|RBLX|RTX|SHOP|SMCI|SNOW|SOFI|SPOT|SPY|TEAM|TLT|TMO|TSLA|VRT|WDAY|WDC|WFC|WMT|XLI|XLV|XLY|XOM|ZS
2026-06-02,,78,153.0,78.0,78.0,,ABBV|ADBE|AMD|APH|APP|ATI|AVGO|BA|BAC|BWXT|CMG|COHR|COIN|CRM|CSCO|CVX|D|DDOG|DE|DELL|DOCU|DUK|EME|ESTC|GLW|GRMN|GS|HD|HPE|HUBS|INTC|INTU|LITE|LLY|LMT|LOW|MA|MCHP|MDB|MDT|META|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|OXY|PANW|PCTY|PGR|QCOM|RBLX|RTX|SHOP|SMCI|SNOW|SOFI|SPOT|SPY|TEAM|TLT|TMO|TSLA|VRT|WDAY|WDC|WFC|WMT|XLI|XLV|XLY|XOM|ZS
2026-06-03,,79,153.0,79.0,79.0,,ABBV|ADBE|AMD|APH|APP|ATI|AVGO|BA|BAC|BWXT|CMG|COHR|COIN|CRM|CSCO|CVX|D|DDOG|DE|DELL|DOCU|DUK|EME|ESTC|GLW|GRMN|GS|HD|HPE|HUBS|INTC|INTU|LITE|LLY|LMT|LOW|MA|MCHP|MDB|MDT|META|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|OXY|PANW|PCTY|PGR|QCOM|RBLX|RTX|SHOP|SMCI|SNOW|SOFI|SPOT|SPY|TEAM|TLT|TMO|TSLA|VRT|WDAY|WDC|WFC|XLI|XLV|XLY|XOM|ZS
2026-06-04,,80,153.0,80.0,80.0,,ABBV|ADBE|AMD|APH|APP|ATI|AVGO|BA|BAC|BWXT|CMG|COHR|COIN|CRM|CSCO|CVX|D|DDOG|DE|DELL|DOCU|DUK|EME|ESTC|GLW|GRMN|GS|HD|HPE|HUBS|INTC|INTU|LITE|LLY|LMT|LOW|MA|MCHP|MDB|MDT|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|OXY|PANW|PCTY|PGR|QCOM|RBLX|RTX|SHOP|SMCI|SNOW|SOFI|SPOT|SPY|TEAM|TLT|TMO|TSLA|VRT|WDAY|WDC|WFC|XLI|XLV|XLY|XOM|ZS
2026-06-09,,87,153.0,87.0,87.0,,ADBE|AMD|ANET|APH|APP|ATI|BA|BAC|BWXT|CMG|COHR|COIN|CRM|CRWD|CSCO|D|DDOG|DE|DELL|DOCU|DUK|EME|ESTC|FTNT|GLW|GRMN|HPE|HUBS|INTC|INTU|LITE|LOW|LRCX|MA|MCHP|MDB|MDT|META|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|OXY|PCTY|PGR|QCOM|RBLX|SHOP|SMCI|SNOW|SPY|TEAM|TLT|TMO|VRT|WDAY|WDC|WFC|XLI|XLV|XLY|XOM|ZS
2026-06-10,,87,153.0,87.0,87.0,,ADBE|AMD|ANET|APH|APP|ATI|BA|BAC|BWXT|CMG|COHR|COIN|CRM|CRWD|CSCO|D|DDOG|DE|DELL|DOCU|DUK|EME|ESTC|FTNT|GLW|GRMN|HPE|HUBS|INTC|INTU|LITE|LOW|LRCX|MA|MCHP|MDB|MDT|META|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|OXY|PCTY|PGR|QCOM|RBLX|SHOP|SMCI|SNOW|SPY|TEAM|TLT|TMO|VRT|WDAY|WDC|WFC|XLI|XLV|XLY|XOM|ZS
2026-06-22,,82,153.0,82.0,82.0,,ADBE|AFRM|AMAT|AMD|ANET|APH|APP|ATI|BAC|BWXT|CMG|COHR|COIN|CRM|D|DDOG|DE|DELL|DOCU|EME|EQIX|ESTC|FTNT|GE|GLW|GRMN|HON|HPE|HUBS|INTC|INTU|KLAC|LITE|LOW|LRCX|MA|MCHP|MDB|MDT|META|MPWR|MRVL|NET|NOW|NVO|NXPI|OKTA|ON|ORCL|OXY|PANW|PCTY|PGR|QCOM|RBLX|SHOP|SMCI|SNOW|SPY|TEAM|TLT|TMO|VRT|WDAY|WDC|WFC|XLE|XLI|XLV|XLY|ZS
