date,fold,regime,skip,n_scored,n_labelled,scored_only,labelled_only
2019-04-01,1,BULL_CALM,,276,276.0,,
2019-04-02,1,BULL_CALM,,276,276.0,,
2019-04-03,1,BULL_CALM,,276,276.0,,
2019-04-04,1,BULL_CALM,,276,276.0,,
2019-04-05,1,BULL_CALM,,276,276.0,,
2019-04-08,1,BULL_CALM,,276,276.0,,
2019-04-09,1,BULL_CALM,,276,276.0,,
2019-04-10,1,BULL_CALM,,276,276.0,,
2019-04-11,1,BULL_CALM,,276,276.0,,
2019-04-12,1,BULL_CALM,,276,276.0,,
2019-04-15,1,BULL_CALM,,276,276.0,,
2019-04-16,1,BULL_CALM,,276,276.0,,
2019-04-17,1,BULL_CALM,,276,276.0,,
2019-04-18,1,BULL_CALM,,277,277.0,,
2019-04-22,1,BULL_CALM,,277,277.0,,
2019-04-23,1,BULL_CALM,,277,277.0,,
2019-04-24,1,BULL_CALM,,277,277.0,,
2019-04-25,1,BULL_CALM,,277,277.0,,
2019-04-26,1,BULL_CALM,,277,277.0,,
2019-04-29,1,BULL_CALM,,277,277.0,,
2019-04-30,1,BULL_CALM,,277,277.0,,
2019-05-01,1,BULL_CALM,,277,277.0,,
2019-05-02,1,BULL_CALM,,277,277.0,,
2019-05-03,1,BULL_CALM,,277,277.0,,
2019-05-06,1,BULL_CALM,,277,277.0,,
2019-05-07,1,CHOPPY,gate_starved:ineligible,277,,,
2019-05-08,1,CHOPPY,gate_starved:ineligible,277,,,
2019-05-09,1,CHOPPY,gate_starved:ineligible,277,,,
2019-05-10,1,BULL_CALM,,277,277.0,,
2019-05-13,1,BEAR,gate_starved:failed,277,,,
2019-05-14,1,BULL_CALM,,277,277.0,,
2019-05-15,1,CHOPPY,gate_starved:ineligible,277,,,
2019-05-16,1,CHOPPY,gate_starved:ineligible,277,,,
2019-05-17,1,CHOPPY,gate_starved:ineligible,277,,,
2019-05-20,1,BULL_CALM,,277,277.0,,
2019-05-21,1,BULL_CALM,,277,277.0,,
2019-05-22,1,BULL_CALM,,277,277.0,,
2019-05-23,1,BULL_CALM,,277,277.0,,
2019-05-24,1,BULL_CALM,,277,277.0,,
2019-05-28,1,BULL_CALM,,277,277.0,,
2019-05-29,1,BULL_CALM,,277,277.0,,
2019-05-30,1,BULL_VOLATILE,gate_starved:no_stamps,277,,,
2019-05-31,1,BEAR,gate_starved:failed,277,,,
2019-06-03,1,BULL_VOLATILE,gate_starved:no_stamps,277,,,
2019-06-04,1,BULL_VOLATILE,gate_starved:no_stamps,277,,,
2019-06-05,1,CHOPPY,gate_starved:ineligible,277,,,
2019-06-06,1,CHOPPY,gate_starved:ineligible,277,,,
2019-06-07,1,BULL_VOLATILE,gate_starved:no_stamps,277,,,
2019-06-10,1,BULL_VOLATILE,gate_starved:no_stamps,277,,,
2019-06-11,1,BULL_VOLATILE,gate_starved:no_stamps,277,,,
2019-06-12,1,BULL_VOLATILE,gate_starved:no_stamps,278,,,
2019-06-13,1,BULL_VOLATILE,gate_starved:no_stamps,278,,,
2019-06-14,1,BULL_CALM,,278,278.0,,
2019-06-17,1,BULL_VOLATILE,gate_starved:no_stamps,278,,,
2019-06-18,1,BULL_CALM,,278,278.0,,
2019-06-19,1,BULL_CALM,,278,278.0,,
2019-06-20,1,BULL_CALM,,278,278.0,,
2019-06-21,1,BULL_CALM,,278,278.0,,
2019-06-24,1,BULL_CALM,,278,278.0,,
2019-06-25,1,BULL_CALM,,278,278.0,,
2019-06-26,1,BULL_CALM,,278,278.0,,
2019-06-27,1,BULL_CALM,,278,278.0,,
2019-06-28,1,BULL_CALM,,278,278.0,,
2019-07-01,1,BULL_CALM,,278,278.0,,
2019-07-02,1,BULL_CALM,,278,278.0,,
2019-07-03,1,BULL_CALM,,278,278.0,,
2019-07-05,1,BULL_CALM,,278,278.0,,
2019-07-08,1,BULL_CALM,,278,278.0,,
2019-07-09,1,BULL_CALM,,278,278.0,,
2019-07-10,1,BULL_CALM,,278,278.0,,
2019-07-11,1,BULL_CALM,,278,278.0,,
2019-07-12,1,BULL_CALM,,278,278.0,,
2019-07-15,1,BULL_CALM,,278,278.0,,
2019-07-16,1,BULL_CALM,,278,278.0,,
2019-07-17,1,BULL_CALM,,278,278.0,,
2019-07-18,1,BULL_CALM,,278,278.0,,
2019-07-19,1,BULL_CALM,,278,278.0,,
2019-07-22,1,BULL_CALM,,278,278.0,,
2019-07-23,1,BULL_CALM,,278,278.0,,
2019-07-24,1,BULL_CALM,,278,278.0,,
2019-07-25,1,BULL_CALM,,278,278.0,,
2019-07-26,1,BULL_CALM,,278,278.0,,
2019-07-29,1,BULL_CALM,,278,278.0,,
2019-07-30,1,BULL_CALM,,278,278.0,,
2019-07-31,1,BULL_CALM,,278,278.0,,
2019-08-01,1,BULL_CALM,,278,278.0,,
2019-08-02,1,BULL_CALM,,278,278.0,,
2019-08-05,1,BEAR,gate_starved:failed,278,,,
2019-08-06,1,BEAR,gate_starved:failed,278,,,
2019-08-07,1,BEAR,gate_starved:failed,278,,,
2019-08-08,1,BEAR,gate_starved:failed,278,,,
2019-08-09,1,BEAR,gate_starved:failed,278,,,
2019-08-12,1,BULL_CALM,,278,278.0,,
2019-08-13,1,BULL_CALM,,278,278.0,,
2019-08-14,1,BEAR,gate_starved:failed,278,,,
2019-08-15,1,BEAR,gate_starved:failed,278,,,
2019-08-16,1,BEAR,gate_starved:failed,278,,,
2019-08-19,1,BEAR,gate_starved:failed,278,,,
2019-08-20,1,BEAR,gate_starved:failed,278,,,
2019-08-21,1,BULL_CALM,,278,278.0,,
2019-08-22,1,BULL_CALM,,278,278.0,,
2019-08-23,1,BULL_CALM,,278,278.0,,
2019-08-26,1,BULL_CALM,,278,278.0,,
2019-08-27,1,BULL_CALM,,278,278.0,,
2019-08-28,1,BULL_CALM,,278,278.0,,
2019-08-29,1,BEAR,gate_starved:failed,278,,,
2019-08-30,1,BULL_CALM,,278,278.0,,
2019-09-03,1,BULL_CALM,,278,278.0,,
2019-09-04,1,BULL_CALM,,278,278.0,,
2019-09-05,1,BULL_CALM,,278,278.0,,
2019-09-06,1,BULL_CALM,,278,278.0,,
2019-09-09,1,BULL_CALM,,278,278.0,,
2019-09-10,1,BULL_VOLATILE,gate_starved:no_stamps,278,,,
2019-09-11,1,BULL_VOLATILE,gate_starved:no_stamps,278,,,
2019-09-12,1,BULL_VOLATILE,gate_starved:no_stamps,278,,,
2019-09-13,1,BULL_VOLATILE,gate_starved:no_stamps,279,,,
2019-09-16,1,BULL_VOLATILE,gate_starved:no_stamps,279,,,
2019-09-17,1,BULL_VOLATILE,gate_starved:no_stamps,279,,,
