lane_a,lane_b,n_days,median_spearman,min_spearman,max_spearman,median_common_tickers
blend:blend,blend:unattributed,1,0.9856520201836619,0.9856520201836619,0.9856520201836619,122.0
blend:blend,blend_mom:blend,4,0.6528984475145991,0.34307583050579976,0.6935713007497654,118.5
blend:blend,blend_mom_fast:blend,4,0.4835666991698896,0.433891183592081,1.0,118.5
blend:blend,blend_rb_fast:blend,4,0.4835666991698896,0.433891183592081,1.0,118.5
blend:blend,blend_rb_mom:blend,4,0.8261398040311301,0.38315090824406156,0.8384987893462471,118.5
blend:blend,primary:served,9,0.4089984737776705,-0.025641025641025644,0.6920001537692693,114.0
blend:blend,shared:blend,1,0.3374839393188017,0.3374839393188017,0.3374839393188017,110.0
blend:blend,shared:hf_patchtst,5,0.4832625840595188,0.39305731749509865,0.5053276499069482,111.0
blend:blend,shared:momentum_residual,1,0.40209895052473765,0.40209895052473765,0.40209895052473765,116.0
blend:blend,shared:momentum_residual_v0,1,0.1237863740537537,0.1237863740537537,0.1237863740537537,120.0
blend:blend,shared:unattributed,1,0.2684538434538435,0.2684538434538435,0.2684538434538435,111.0
blend:unattributed,primary:served,1,0.35061663392802905,0.35061663392802905,0.35061663392802905,114.0
blend:unattributed,shared:hf_patchtst,1,0.4984468234468234,0.4984468234468234,0.4984468234468234,111.0
blend:unattributed,shared:unattributed,1,0.29585819585819584,0.29585819585819584,0.29585819585819584,111.0
blend_mom:blend,blend_mom_fast:blend,4,0.3700578900841749,0.34644498896336656,0.3723522466837974,119.5
blend_mom:blend,blend_rb_fast:blend,4,0.3700578900841749,0.34644498896336656,0.3723522466837974,119.5
blend_mom:blend,blend_rb_mom:blend,4,0.9220625036823857,0.8988193624557259,0.9460546930636662,119.5
blend_mom:blend,primary:served,4,0.9997611686854304,0.32754675293931984,1.0,117.5
blend_mom:blend,shared:blend,1,0.9966173505996514,0.9966173505996514,0.9966173505996514,112.0
blend_mom_fast:blend,blend_rb_fast:blend,4,1.0,1.0,1.0,119.5
blend_mom_fast:blend,blend_rb_mom:blend,4,0.4005555941384818,0.3805714748587514,0.41586668565731383,119.5
blend_mom_fast:blend,primary:served,4,0.36538681920639493,-0.08166194006901971,0.36831264448413004,117.5
blend_mom_fast:blend,shared:blend,1,0.35485877871198973,0.35485877871198973,0.35485877871198973,110.0
blend_rb_fast:blend,blend_rb_mom:blend,4,0.4005555941384818,0.3805714748587514,0.41586668565731383,119.5
blend_rb_fast:blend,primary:served,4,0.36538681920639493,-0.08166194006901971,0.36831264448413004,117.5
blend_rb_fast:blend,shared:blend,1,0.35485877871198973,0.35485877871198973,0.35485877871198973,110.0
blend_rb_mom:blend,primary:served,4,0.9239534144818293,0.37323606792633346,0.9466124173897404,117.5
blend_rb_mom:blend,shared:blend,1,0.8912336857290987,0.8912336857290987,0.8912336857290987,110.0
primary:served,shared:blend,1,0.30987972802132097,0.30987972802132097,0.30987972802132097,112.0
primary:served,shared:hf_patchtst,23,-0.09479521222640488,-0.2739557824949028,0.8824383164005806,101.0
primary:served,shared:momentum_residual,1,-0.08018844532606001,-0.08018844532606001,-0.08018844532606001,110.0
primary:served,shared:momentum_residual_v0,1,0.028752519902962383,0.028752519902962383,0.028752519902962383,112.0
primary:served,shared:panel_ltr_xgboost,5,0.9859688334264606,0.5398378320708419,1.0,104.0
primary:served,shared:unattributed,11,0.4413636854029561,-0.06677098150782361,0.9999999999999999,91.0
primary:served,shared:xgb,1,-0.18324669742090233,-0.18324669742090233,-0.18324669742090233,94.0
shared:hf_patchtst,shared:momentum_residual,1,0.9418213969938108,0.9418213969938108,0.9418213969938108,116.0
shared:hf_patchtst,shared:momentum_residual_v0,1,0.04408564948295084,0.04408564948295084,0.04408564948295084,116.0
shared:hf_patchtst,shared:panel_ltr_xgboost,3,0.6501221358030241,0.6165187405709359,0.7877351062899135,107.0
shared:hf_patchtst,shared:unattributed,2,0.23551429908572763,-0.19938574938574938,0.6704143475572046,105.0
shared:hf_patchtst,shared:xgb,1,-0.23684461407598945,-0.23684461407598945,-0.23684461407598945,97.0
shared:momentum_residual,shared:momentum_residual_v0,1,0.0495752123938031,0.0495752123938031,0.0495752123938031,116.0
shared:panel_ltr_xgboost,shared:xgb,1,-0.18329273384255707,-0.18329273384255707,-0.18329273384255707,97.0
