date,run_id,n_scored,scorer
2026-04-27,legacy-2026-04-27,10,unattributed
2026-04-28,legacy-2026-04-28,5,unattributed
2026-04-29,legacy-2026-04-29,5,unattributed
2026-04-30,legacy-2026-04-30,4,unattributed
2026-05-01,legacy-2026-05-01,3,unattributed
2026-05-03,legacy-2026-05-03,5,unattributed
2026-05-04,legacy-2026-05-04,3,unattributed
2026-05-05,legacy-2026-05-05,3,unattributed
2026-05-06,legacy-2026-05-06,3,unattributed
2026-05-07,legacy-2026-05-07,3,unattributed
2026-05-08,legacy-2026-05-08,48,unattributed
2026-05-09,legacy-2026-05-09,43,unattributed
2026-05-12,legacy-2026-05-12,41,unattributed
2026-05-13,legacy-2026-05-13,41,unattributed
2026-05-14,legacy-2026-05-14,41,unattributed
2026-05-15,legacy-2026-05-15,40,unattributed
2026-05-17,legacy-2026-05-17,37,unattributed
2026-05-18,legacy-2026-05-18,76,unattributed
2026-05-19,legacy-2026-05-19,75,unattributed
2026-05-20,2026-05-20-live-9694f79f,76,unattributed
2026-05-21,2026-05-21-live-b2d754d0,75,unattributed
2026-05-22,2026-05-22-live-ff554178,74,unattributed
2026-05-26,2026-05-26-live-e604dc05,6,unattributed
2026-05-27,2026-05-27-live-93659310,6,unattributed
2026-05-28,2026-05-28-live-cb0e33f1,5,unattributed
2026-05-29,2026-05-29-live-93571e18,5,unattributed
2026-05-30,2026-05-30-live-4cbb2c2c,83,unattributed
2026-06-01,2026-06-01-live-57b22252,88,unattributed
2026-06-02,2026-06-02-live-237c90a5,90,unattributed
2026-06-03,2026-06-03-live-2b917827,91,unattributed
2026-06-04,2026-06-04-live-38548bd0,92,unattributed
2026-06-05,2026-06-05-live-9d3f6892,3,unattributed
2026-06-08,2026-06-08-live-5fdaa7dc,3,unattributed
2026-06-09,2026-06-09-live-70c90efc,103,unattributed
2026-06-10,2026-06-10-live-c2bf522c,103,unattributed
2026-06-11,2026-06-11-live-f68231b0,104,hf_patchtst
2026-06-12,2026-06-12-live-a7e97f23,2,hf_patchtst
2026-06-15,2026-06-15-live-da95ff7b,2,hf_patchtst
2026-06-16,2026-06-16-live-255ac4c0,2,hf_patchtst
2026-06-17,2026-06-17-live-e9d7a336,2,hf_patchtst
2026-06-18,2026-06-18-live-439b1947,1,hf_patchtst
2026-06-22,2026-06-22-live-c26c0042,104,panel_ltr_xgboost
2026-06-23,2026-06-23-live-844746ad,105,panel_ltr_xgboost
2026-06-24,2026-06-24-live-710e3805,101,panel_ltr_xgboost
2026-06-25,2026-06-25-live-6c3aa3fa,102,panel_ltr_xgboost
2026-06-26,2026-06-26-live-3d74ce5c,106,panel_ltr_xgboost
2026-06-29,2026-06-29-live-0534845a,70,panel_ltr_xgboost
2026-06-30,2026-06-30-live-b616357c,121,panel_ltr_xgboost
2026-07-01,2026-07-01-live-01c54b39,120,panel_ltr_xgboost
2026-07-02,2026-07-02-live-85496d1c,120,panel_ltr_xgboost
2026-07-06,2026-07-06-live-ebb9c2ca,58,panel_ltr_xgboost
2026-07-07,2026-07-07-live-dc2a3247,58,panel_ltr_xgboost
2026-07-08,2026-07-08-live-946b2c1d,6,xgb
2026-07-09,2026-07-09-live-40e2dbd0,5,panel_ltr_xgboost
2026-07-10,2026-07-10-live-6f9d5284,119,panel_ltr_xgboost
2026-07-13,2026-07-13-live-d250791e,114,panel_ltr_xgboost
2026-07-14,2026-07-14-live-53f3f3cf,6,xgb
2026-07-15,2026-07-15-live-ff8a1a12,6,xgb
2026-07-16,2026-07-16-live-a24a8be1,10,panel_ltr_xgboost
2026-07-17,2026-07-17-live-41b03289,10,panel_ltr_xgboost
2026-07-20,2026-07-20-live-54ea6604,108,panel_ltr_xgboost
2026-07-21,2026-07-21-live-fd5949f9,106,panel_ltr_xgboost
2026-07-22,2026-07-22-live-79dbf668,105,panel_ltr_xgboost
2026-07-23,2026-07-23-live-0113fd5f,105,panel_ltr_xgboost
2026-07-24,2026-07-24-live-4281dc85,104,panel_ltr_xgboost
2026-07-27,2026-07-27-live-e548dd21,113,panel_ltr_xgboost
2026-07-28,2026-07-28-live-5b859fff,114,panel_ltr_xgboost
2026-07-29,2026-07-29-live-34603e64,113,panel_ltr_xgboost
2026-07-30,2026-07-30-live-7521e521,113,panel_ltr_xgboost
2026-07-31,2026-07-31-live-381747dd,113,panel_ltr_xgboost
2026-08-03,2026-08-03-live-ff1f674a,112,panel_ltr_xgboost
2026-08-04,2026-08-04-live-2f5d92df,118,panel_ltr_xgboost
2026-08-05,2026-08-05-live-2d99f969,118,blend
2026-08-06,2026-08-06-live-b01e4201,118,blend
2026-08-07,2026-08-07-live-1e3a1fb0,118,blend
