candidate,h,date,obs_index,block,block_complete,kept,drop_reason,placebo_score_date,n_pairs_genuine,n_pairs_placebo,ic_genuine,ic_placebo
high52w,20,2019-01-14,0,0,True,True,,2018-11-13,129,128,-0.11653622540250448,-0.17675873180272866
high52w,20,2019-01-22,1,0,True,True,,2018-11-20,130,128,-0.2784006336287536,-0.32408212781541845
high52w,20,2019-01-29,2,0,True,True,,2018-11-28,130,128,-0.15503420775922105,-0.1887540722823378
high52w,20,2019-02-05,3,0,True,True,,2018-12-06,130,128,0.181040027701057,0.14710204232077428
high52w,20,2019-02-12,4,1,True,True,,2018-12-13,130,128,0.03420838048691411,0.062437946896080176
high52w,20,2019-02-20,5,1,True,True,,2018-12-20,130,128,0.2211291369812375,0.12658510346090457
high52w,20,2019-02-27,6,1,True,True,,2018-12-28,130,128,0.18985143606762128,0.25680392785204176
high52w,20,2019-03-06,7,1,True,True,,2019-01-07,130,129,-0.11141760777833919,-0.0914523703041145
high52w,20,2019-03-13,8,2,True,True,,2019-01-14,130,129,-0.14458567271380196,-0.24477303220035784
high52w,20,2019-03-20,9,2,True,True,,2019-01-22,130,130,-0.3424981738417424,-0.39396687104835515
high52w,20,2019-03-27,10,2,True,True,,2019-01-29,130,130,-0.31600638545740245,-0.3257042974777752
high52w,20,2019-04-03,11,2,True,True,,2019-02-05,130,130,0.0025052250233107425,-0.1008398541897684
high52w,20,2019-04-10,12,3,True,True,,2019-02-12,130,130,0.10060577342745693,0.12611385770529174
high52w,20,2019-04-17,13,3,True,True,,2019-02-20,130,130,0.08586388210242848,0.3863209976786283
high52w,20,2019-04-25,14,3,True,True,,2019-02-27,130,130,0.16793907835934638,0.3613778342613465
high52w,20,2019-05-02,15,3,True,True,,2019-03-06,130,130,0.19878190334430346,0.4946810689754059
high52w,20,2019-05-09,16,4,True,True,,2019-03-13,130,130,0.47293076913667,0.5431669993456587
high52w,20,2019-05-16,17,4,True,True,,2019-03-20,130,130,0.3730021703837316,0.32824903930265587
high52w,20,2019-05-23,18,4,True,True,,2019-03-27,131,130,-0.12086492413446641,0.012527840784182958
high52w,20,2019-05-31,19,4,True,True,,2019-04-03,131,130,-0.4659211017989644,-0.25335556487106686
high52w,20,2019-06-07,20,5,True,True,,2019-04-10,131,130,-0.2291023555114292,-0.06098412311270088
high52w,20,2019-06-14,21,5,True,True,,2019-04-17,131,130,-0.35634229276704366,0.05331960447648815
high52w,20,2019-06-21,22,5,True,True,,2019-04-25,131,130,-0.32525980058882903,0.0049248435873640115
high52w,20,2019-06-28,23,5,True,True,,2019-05-02,131,130,-0.11187508345103593,0.1256250938835707
high52w,20,2019-07-08,24,6,True,True,,2019-05-09,131,130,-0.01999586248951721,0.02912511317255877
high52w,20,2019-07-15,25,6,True,True,,2019-05-16,131,130,0.22023068148323519,0.26818671799338645
high52w,20,2019-07-22,26,6,True,True,,2019-05-23,131,131,0.18135129991500665,0.3635024072255063
high52w,20,2019-07-29,27,6,True,True,,2019-05-31,131,131,0.23747172330170804,0.5045054182458762
high52w,20,2019-08-05,28,7,True,True,,2019-06-07,131,131,0.30354988522927456,0.3131758049044928
high52w,20,2019-08-12,29,7,True,True,,2019-06-14,131,131,-0.3935962931582967,-0.402835419855524
high52w,20,2019-08-19,30,7,True,True,,2019-06-21,131,131,-0.3664344037349118,-0.4013642134044054
high52w,20,2019-08-26,31,7,True,True,,2019-06-28,131,131,-0.30683962581638413,-0.2850553851275668
high52w,20,2019-09-03,32,8,True,True,,2019-07-08,131,131,-0.1446920951278387,-0.22438080781294292
high52w,20,2019-09-10,33,8,True,True,,2019-07-15,131,131,0.299787130724704,0.3553320171733124
high52w,20,2019-09-17,34,8,True,True,,2019-07-22,131,131,0.15623114912812033,0.17279890714303608
high52w,20,2019-09-24,35,8,True,True,,2019-07-29,131,131,-0.06569113174725219,-0.13524092983384448
high52w,20,2019-10-01,36,9,True,True,,2019-08-05,131,131,-0.30659572224940856,-0.47478246943895797
high52w,20,2019-10-08,37,9,True,True,,2019-08-12,131,131,-0.46748518656915605,-0.5701626550161578
high52w,20,2019-10-15,38,9,True,True,,2019-08-19,131,131,-0.2900421247320596,-0.4581764981999607
