candidate,h,date,obs_index,block,block_complete,kept,drop_reason,placebo_score_date,n_pairs_shared,n_pairs_genuine_leg_only,n_pairs_placebo_leg_only,coverage_gap_genuine_minus_placebo,ic_genuine,ic_placebo
tail_q90_60d,20,2019-01-14,0,0,True,True,,2018-11-13,131,131,131,0,0.28977206000106764,0.2918646239256926
tail_q90_60d,20,2019-01-22,1,0,True,True,,2018-11-20,131,131,131,0,0.385400096087119,0.36670581327069873
tail_q90_60d,20,2019-01-29,2,0,True,True,,2018-11-28,131,131,131,0,0.33596327336785353,0.4165269844659158
tail_q90_60d,20,2019-02-05,3,0,True,True,,2018-12-06,131,131,131,0,-0.12992330369320235,-0.07309303514264122
tail_q90_60d,20,2019-02-12,4,1,True,True,,2018-12-13,131,131,131,0,-0.023786900122777982,-0.08190359259061548
tail_q90_60d,20,2019-02-20,5,1,True,True,,2018-12-20,131,131,131,0,0.0410772433673197,0.05229274542251642
tail_q90_60d,20,2019-02-27,6,1,True,True,,2018-12-28,131,131,131,0,-0.10729194469652485,-0.1209950354988523
tail_q90_60d,20,2019-03-06,7,1,True,True,,2019-01-07,131,131,131,0,0.30265307211872094,0.2898734852933326
tail_q90_60d,20,2019-03-13,8,2,True,True,,2019-01-14,131,131,131,0,0.2657022366946031,0.3344472321571558
tail_q90_60d,20,2019-03-20,9,2,True,True,,2019-01-22,131,131,131,0,0.20224203277638395,0.11918005658463672
tail_q90_60d,20,2019-03-27,10,2,True,True,,2019-01-29,131,131,131,0,0.26979661559814233,0.2113276036940159
tail_q90_60d,20,2019-04-03,11,2,True,True,,2019-02-05,131,131,131,0,-0.018422035979287887,0.0018523461271552875
tail_q90_60d,20,2019-04-10,12,3,True,True,,2019-02-12,131,131,131,0,-0.16716489617252975,-0.15197245502589013
tail_q90_60d,20,2019-04-17,13,3,True,True,,2019-02-20,131,131,131,0,-0.08071851812309827,-0.24914856136230182
tail_q90_60d,20,2019-04-25,14,3,True,True,,2019-02-27,131,132,131,1,-0.24865211124753112,-0.39885763091869963
tail_q90_60d,20,2019-05-02,15,3,True,True,,2019-03-06,131,132,131,1,-0.2570971013719105,-0.3884481930283457
tail_q90_60d,20,2019-05-09,16,4,True,True,,2019-03-13,131,132,131,1,-0.3253456467196925,-0.34425879464047404
tail_q90_60d,20,2019-05-16,17,4,True,True,,2019-03-20,131,132,131,1,-0.24163241338813862,-0.4199540917098169
tail_q90_60d,20,2019-05-23,18,4,True,True,,2019-03-27,131,132,131,1,0.13806651363903272,0.09094111994875355
tail_q90_60d,20,2019-05-31,19,4,True,True,,2019-04-03,131,132,131,1,0.28474883894731223,0.18380398227726474
tail_q90_60d,20,2019-06-07,20,5,True,True,,2019-04-10,131,132,131,1,0.2458495702770512,0.08631826189078097
tail_q90_60d,20,2019-06-14,21,5,True,True,,2019-04-17,131,133,131,2,0.4717557251908397,0.34736561148774886
tail_q90_60d,20,2019-06-21,22,5,True,True,,2019-04-25,132,133,132,1,0.30339206795614987,0.3186801145820832
tail_q90_60d,20,2019-06-28,23,5,True,True,,2019-05-02,132,133,132,1,0.2209201003897669,0.24339300715355353
tail_q90_60d,20,2019-07-08,24,6,True,True,,2019-05-09,132,133,132,1,0.05814153704872868,-0.02768023459064037
tail_q90_60d,20,2019-07-15,25,6,True,True,,2019-05-16,132,133,132,1,-0.1446781422675356,-0.13591229983355332
tail_q90_60d,20,2019-07-22,26,6,True,True,,2019-05-23,132,133,132,1,-0.10392741047622524,-0.2435025801839783
tail_q90_60d,20,2019-07-29,27,6,True,True,,2019-05-31,132,133,132,1,-0.12803869493303,-0.2501708817498291
tail_q90_60d,20,2019-08-05,28,7,True,True,,2019-06-07,132,133,132,1,0.009042383891720974,-0.008828455594224977
tail_q90_60d,20,2019-08-12,29,7,True,True,,2019-06-14,133,133,133,0,0.029019291784413544,-0.02984054437314453
tail_q90_60d,20,2019-08-19,30,7,True,True,,2019-06-21,133,133,133,0,0.12983442323583722,-0.10907866681629447
tail_q90_60d,20,2019-08-26,31,7,True,True,,2019-06-28,133,133,133,0,-0.05157058181410106,-0.20875628691810938
tail_q90_60d,20,2019-09-03,32,8,True,True,,2019-07-08,133,133,133,0,-0.02827455341202395,-0.13665439038573368
tail_q90_60d,20,2019-09-10,33,8,True,True,,2019-07-15,133,133,133,0,-0.10864508625702655,-0.12789096214076573
tail_q90_60d,20,2019-09-17,34,8,True,True,,2019-07-22,133,134,133,1,-0.11390926434131461,-0.016409748931351446
tail_q90_60d,20,2019-09-24,35,8,True,True,,2019-07-29,133,135,133,2,-0.06722028952979464,0.017384029952765223
tail_q90_60d,20,2019-10-01,36,9,True,True,,2019-08-05,133,135,133,2,0.18252211260852264,0.1936217749257812
tail_q90_60d,20,2019-10-08,37,9,True,True,,2019-08-12,133,135,133,2,0.17785474541169746,0.188240275043103
tail_q90_60d,20,2019-10-15,38,9,True,True,,2019-08-19,133,135,133,2,0.19335652564246436,0.18036951265545137
tail_q90_60d,20,2019-10-22,39,9,True,True,,2019-08-26,133,135,133,2,0.31248916048601827,0.36405974230011934
tail_q90_60d,20,2019-10-29,40,10,True,True,,2019-09-03,133,135,133,2,0.21749421042429679,0.1498199365442099
tail_q90_60d,20,2019-11-05,41,10,True,True,,2019-09-10,133,135,133,2,0.08620601707797308,0.036573795411187396
tail_q90_60d,20,2019-11-12,42,10,True,True,,2019-09-17,134,135,134,1,0.008770682926221027,-0.17212932829586405
tail_q90_60d,20,2019-11-19,43,10,True,True,,2019-09-24,135,135,135,0,-0.02692420251682763,-0.038708418690859434
tail_q90_60d,20,2019-11-26,44,11,True,True,,2019-10-01,135,135,135,0,0.04170812603648426,0.0553750853575261
tail_q90_60d,20,2019-12-04,45,11,True,True,,2019-10-08,135,135,135,0,0.1261291581309141,0.13984001560823334
tail_q90_60d,20,2019-12-11,46,11,True,True,,2019-10-15,135,135,135,0,0.33869866354502004,0.26992000780411673
tail_q90_60d,20,2019-12-18,47,11,True,True,,2019-10-22,135,135,135,0,0.2522339283972296,0.2247488049946347
tail_q90_60d,20,2019-12-26,48,12,True,True,,2019-10-29,135,135,135,0,0.10494585894059118,0.014188859623451372
tail_q90_60d,20,2020-01-03,49,12,True,True,,2019-11-05,135,135,135,0,0.09592234903911814,0.13893766461808604
tail_q90_60d,20,2020-01-10,50,12,True,True,,2019-11-12,135,135,135,0,0.3186713491366696,0.15817968978636232
tail_q90_60d,20,2020-01-17,51,12,True,True,,2019-11-19,135,135,135,0,0.22554872695346795,0.10588723051409618
tail_q90_60d,20,2020-01-27,52,13,True,True,,2019-11-26,135,135,135,0,0.09353233830845772,0.009199102526582773
tail_q90_60d,20,2020-02-03,53,13,True,True,,2019-12-04,135,135,135,0,0.03400643839625403,-0.002194907813871818
tail_q90_60d,20,2020-02-10,54,13,True,True,,2019-12-11,135,135,135,0,-0.08990342405618965,-0.0784264949760999
tail_q90_60d,20,2020-02-18,55,13,True,True,,2019-12-18,135,135,135,0,-0.12763145059018635,-0.16707638279192275
tail_q90_60d,20,2020-02-25,56,14,True,True,,2019-12-26,135,135,135,0,0.20645790654570284,0.26400351185250226
tail_q90_60d,20,2020-03-03,57,14,True,True,,2020-01-03,135,135,135,0,0.02676324261047703,0.19884889279094725
tail_q90_60d,20,2020-03-10,58,14,True,True,,2020-01-10,135,135,135,0,0.0404058140669203,0.19967808018729885
tail_q90_60d,20,2020-03-17,59,14,True,True,,2020-01-17,135,135,135,0,0.41007218807921186,0.38194810262413426
tail_q90_60d,20,2020-03-24,60,15,True,True,,2020-01-27,135,135,135,0,0.06652521705199493,0.002960686762267096
tail_q90_60d,20,2020-03-31,61,15,True,True,,2020-02-03,135,135,135,0,0.14553702077846065,0.12609501512047608
tail_q90_60d,20,2020-04-07,62,15,True,True,,2020-02-10,135,135,135,0,0.1424300068286021,0.30015608233343094
tail_q90_60d,20,2020-04-15,63,15,True,True,,2020-02-18,135,135,135,0,0.057335869671251594,0.2837284167398303
tail_q90_60d,20,2020-04-22,64,16,True,True,,2020-02-25,135,135,135,0,0.29834650278021657,0.4261633011413521
tail_q90_60d,20,2020-04-29,65,16,True,True,,2020-03-03,135,135,135,0,0.09686372061262317,0.27125646278411863
tail_q90_60d,20,2020-05-06,66,16,True,True,,2020-03-10,135,135,135,0,0.547912398790362,0.3214369329821481
tail_q90_60d,20,2020-05-13,67,16,True,True,,2020-03-17,135,135,135,0,0.4985269729782461,0.12568042142230026
tail_q90_60d,20,2020-05-20,68,17,True,True,,2020-03-24,135,135,135,0,0.3774217149546386,0.15627743634767344
tail_q90_60d,20,2020-05-28,69,17,True,True,,2020-03-31,135,135,135,0,0.20562871914935132,0.24469320066334993
tail_q90_60d,20,2020-06-04,70,17,True,True,,2020-04-07,135,135,135,0,0.14852697297824605,0.062345137059799056
tail_q90_60d,20,2020-06-11,71,17,True,True,,2020-04-15,135,135,135,0,-0.04522485611159887,-0.03485025851136475
tail_q90_60d,20,2020-06-18,72,18,True,True,,2020-04-22,135,135,135,0,-0.34752219295678477,-0.31238415764315686
tail_q90_60d,20,2020-06-25,73,18,True,True,,2020-04-29,135,135,135,0,-0.2396888108477222,-0.19003024095210228
tail_q90_60d,20,2020-07-02,74,18,True,True,,2020-05-06,135,135,135,0,-0.1622183201638865,-0.08234318603063116
tail_q90_60d,20,2020-07-10,75,18,True,True,,2020-05-13,135,135,135,0,-0.1619402985074627,-0.020271193054336167
tail_q90_60d,20,2020-07-17,76,19,True,True,,2020-05-20,135,135,135,0,-0.11545702858257734,0.002204662959711248
tail_q90_60d,20,2020-07-24,77,19,True,True,,2020-05-28,135,135,135,0,-0.02239781484733197,-0.10658960101453518
tail_q90_60d,20,2020-07-31,78,19,True,True,,2020-06-04,135,135,135,0,0.012281728611842749,-0.05333138230416545
tail_q90_60d,20,2020-08-07,79,19,True,True,,2020-06-11,135,135,135,0,0.060335577016876404,0.019388352355867722
tail_q90_60d,20,2020-08-14,80,20,True,True,,2020-06-18,135,135,135,0,0.04111793971319872,-0.07811433030923814
tail_q90_60d,20,2020-08-21,81,20,True,True,,2020-06-25,135,135,135,0,0.13909862452443664,0.1129743439664423
tail_q90_60d,20,2020-08-28,82,20,True,True,,2020-07-02,135,135,135,0,0.010950151204760514,-0.08468442103209445
tail_q90_60d,20,2020-09-04,83,20,True,True,,2020-07-10,135,135,135,0,0.3148717198322115,-0.06325724319578578
tail_q90_60d,20,2020-09-14,84,21,True,True,,2020-07-17,135,135,135,0,0.38232855331187204,0.006028680128767926
tail_q90_60d,20,2020-09-21,85,21,True,True,,2020-07-24,135,136,135,1,0.29391278899619555,0.11548141644717591
tail_q90_60d,20,2020-09-28,86,21,True,True,,2020-07-31,135,136,135,1,0.08440152180275097,0.06410594088381621
tail_q90_60d,20,2020-10-05,87,21,True,True,,2020-08-07,135,137,135,2,-0.16063310896497904,-0.14067408057750463
tail_q90_60d,20,2020-10-12,88,22,True,True,,2020-08-14,135,137,135,2,-0.002365622866061848,0.06111598868403084
tail_q90_60d,20,2020-10-19,89,22,True,True,,2020-08-21,135,137,135,2,-0.04273729392254415,0.12438786459857576
tail_q90_60d,20,2020-10-26,90,22,True,True,,2020-08-28,135,137,135,2,0.19083991805677494,0.1581406692030046
tail_q90_60d,20,2020-11-02,91,22,True,True,,2020-09-04,135,137,135,2,0.32990927714369334,0.3063213345039508
