block,n_dates,value,table
0,12,0.14111490977751187,primary_B_minus_A
1,12,0.07851104215017839,primary_B_minus_A
2,12,-0.11325936880548702,primary_B_minus_A
3,12,0.1585330515288461,primary_B_minus_A
4,12,-0.04896612429083247,primary_B_minus_A
5,12,0.022647054544971307,primary_B_minus_A
6,12,0.05026435457894859,primary_B_minus_A
7,12,-0.01920248997396502,primary_B_minus_A
8,12,0.05745622613312459,primary_B_minus_A
9,12,-0.06257813073231788,primary_B_minus_A
10,12,0.09286675354164885,primary_B_minus_A
11,12,0.3167101273852954,primary_B_minus_A
12,12,0.12798529720036245,primary_B_minus_A
13,12,0.29139520422687526,primary_B_minus_A
14,12,0.08628841072222489,primary_B_minus_A
15,12,0.28871666565765025,primary_B_minus_A
16,12,0.06258496402477648,primary_B_minus_A
17,12,0.08821492955803255,primary_B_minus_A
18,12,0.06428407103730184,primary_B_minus_A
19,12,0.09675618664424891,primary_B_minus_A
20,12,-0.20233380570675832,primary_B_minus_A
21,12,-0.12134421811994556,primary_B_minus_A
22,12,0.021302399128306736,primary_B_minus_A
23,12,-0.24974265700712098,primary_B_minus_A
24,12,0.013077766364998059,primary_B_minus_A
25,12,0.07026163624624761,primary_B_minus_A
26,12,0.22099476609847624,primary_B_minus_A
27,12,0.10903541690591202,primary_B_minus_A
0,12,0.09238655754918884,control_C_minus_D
1,12,0.017112912163168504,control_C_minus_D
2,12,0.025928774424208142,control_C_minus_D
3,12,0.004608110306728769,control_C_minus_D
4,12,0.12706534960711477,control_C_minus_D
5,12,0.05205901706808006,control_C_minus_D
6,12,0.06069467910670876,control_C_minus_D
7,12,0.00794032248914929,control_C_minus_D
8,12,-0.07121346811629665,control_C_minus_D
9,12,-0.023693959893505506,control_C_minus_D
10,12,-0.08143926535258901,control_C_minus_D
11,12,0.06203275227353372,control_C_minus_D
12,12,-0.06173031586254254,control_C_minus_D
13,12,0.09411367472026584,control_C_minus_D
14,12,0.04789450057382818,control_C_minus_D
15,12,0.24853543651447266,control_C_minus_D
16,12,0.10757524851320209,control_C_minus_D
17,12,0.04693193649824253,control_C_minus_D
18,12,-0.04524851221937983,control_C_minus_D
19,12,0.05945400679179297,control_C_minus_D
20,12,-0.06239518410419684,control_C_minus_D
21,12,0.06576919445759719,control_C_minus_D
22,12,-0.11662494964729843,control_C_minus_D
23,12,-0.20679746437457283,control_C_minus_D
24,12,-0.08390633729157165,control_C_minus_D
25,12,0.15000432241875172,control_C_minus_D
26,12,0.183146751391615,control_C_minus_D
27,12,0.09580216084646397,control_C_minus_D
0,12,0.10620763153545791,level_A_prod
1,12,0.24578272906702478,level_A_prod
2,12,0.3133367982997067,level_A_prod
3,12,-0.13790015355036492,level_A_prod
4,12,0.4304118187056882,level_A_prod
5,12,-0.00622414686015346,level_A_prod
6,12,-0.15886305964687628,level_A_prod
7,12,0.1831097300894984,level_A_prod
8,12,0.32581556810618806,level_A_prod
9,12,0.3084462960994261,level_A_prod
10,12,-0.32520542951712894,level_A_prod
11,12,-0.17666003356699447,level_A_prod
12,12,0.38887088626163413,level_A_prod
13,12,0.3292515274410997,level_A_prod
14,12,0.22692678402411728,level_A_prod
15,12,0.11000527295930583,level_A_prod
16,12,0.29882105908087214,level_A_prod
17,12,-0.10434767882760142,level_A_prod
18,12,0.2486030281243055,level_A_prod
19,12,-0.09749996627482986,level_A_prod
20,12,-0.3297648677884397,level_A_prod
21,12,-0.022038981485128478,level_A_prod
22,12,0.030362143354509,level_A_prod
23,12,0.3648102587801049,level_A_prod
24,12,-0.310535419907102,level_A_prod
25,12,-0.06077773884593963,level_A_prod
26,12,0.28578721054545647,level_A_prod
27,12,0.015681547390272037,level_A_prod
0,12,0.24732254131296974,level_B_3leg
1,12,0.3242937712172031,level_B_3leg
2,12,0.20007742949421967,level_B_3leg
3,12,0.02063289797848117,level_B_3leg
4,12,0.38144569441485565,level_B_3leg
5,12,0.01642290768481784,level_B_3leg
6,12,-0.1085987050679277,level_B_3leg
7,12,0.1639072401155334,level_B_3leg
8,12,0.3832717942393127,level_B_3leg
9,12,0.24586816536710818,level_B_3leg
10,12,-0.23233867597548008,level_B_3leg
11,12,0.1400500938183009,level_B_3leg
12,12,0.5168561834619966,level_B_3leg
13,12,0.6206467316679748,level_B_3leg
14,12,0.3132151947463422,level_B_3leg
15,12,0.3987219386169561,level_B_3leg
16,12,0.3614060231056486,level_B_3leg
17,12,-0.016132749269568897,level_B_3leg
18,12,0.31288709916160734,level_B_3leg
19,12,-0.000743779630580981,level_B_3leg
20,12,-0.532098673495198,level_B_3leg
21,12,-0.14338319960507404,level_B_3leg
