arm,h,obs_index,date,placebo_score_date,block,units,n_pairs_genuine_leg_only,n_pairs_placebo_leg_only,kept,n_pairs_shared,spread_gen,spread_pla,delta,n_flagged_unadjusted,ic_genuine,ic_placebo,cost_drag,delta_net
W,20,0,2021-07-01,2021-05-05,0,raw_excess,140,139,True,139,0.0642657076419133,0.03373270484040843,0.030533002801504873,97,-0.006416729970061217,-0.015724563206577592,,
W,20,1,2021-07-09,2021-05-12,0,raw_excess,140,139,True,139,0.04674709308526656,0.031809438694750655,0.014937654390515906,95,0.03489432056839001,0.07089682291433932,,
W,20,2,2021-07-16,2021-05-19,0,raw_excess,140,139,True,139,0.03131646193427616,0.04763020768248563,-0.01631374574820947,94,0.16105277268868134,0.14703963537244738,,
W,20,3,2021-07-23,2021-05-26,0,raw_excess,142,139,True,139,0.0063013579660218064,0.01632702770249186,-0.010025669736470054,75,-0.06250530633829032,-0.017190242180450177,,
W,20,4,2021-07-30,2021-06-03,1,raw_excess,142,139,True,139,0.04576396802947886,0.02598690725472707,0.01977706077475179,60,0.15929219357433305,0.17720184101166267,,
W,20,5,2021-08-06,2021-06-10,1,raw_excess,142,139,True,139,0.011257277040865987,-0.009821793838715466,0.021079070879581455,71,0.16406899325260288,0.11592117610259618,,
W,20,6,2021-08-13,2021-06-17,1,raw_excess,143,140,True,140,-0.021457292575632503,0.00706924715393455,-0.028526539729567053,84,0.20976143097679914,0.20531805558592642,,
W,20,7,2021-08-20,2021-06-24,1,raw_excess,143,140,True,140,0.0220537435570621,0.01732455902728746,0.004729184529774638,56,0.36393693555793666,0.3652883164592946,,
W,20,8,2021-08-27,2021-07-01,2,raw_excess,143,140,True,140,0.0188932987549112,-0.006594987977532403,0.0254882867324436,55,0.2574052612013733,0.24020904856661787,,
W,20,9,2021-09-03,2021-07-09,2,raw_excess,143,140,True,140,0.01031425443387965,0.007648072387496838,0.0026661820463828112,73,0.011370842535697888,-0.07930725328551749,,
