block,on_days,off_days,eligible,dominant,n_weekly,n_on_weekly,n_off_weekly,on_mean,off_mean,on_mean_w50,on_minus_off,table
0,0,60,False,False,12,0,12,,0.14203530820303836,,,primary_fixed
1,0,60,False,False,12,0,12,,0.19268637445381784,,,primary_fixed
2,0,60,False,False,12,0,12,,-0.060563053256682625,,,primary_fixed
3,0,60,False,False,12,0,12,,-0.13460324353571426,,,primary_fixed
4,26,34,True,False,12,5,7,0.2856633387136789,0.4332835879213329,0.11740722285282745,-0.14762024920765404,primary_fixed
5,36,24,True,False,12,8,4,0.29218062766061703,0.1593408105798812,0.05472565023330682,0.13283981708073583,primary_fixed
6,0,60,False,False,12,0,12,,-0.14648344108772318,,,primary_fixed
7,33,27,True,False,12,6,6,0.5479560062526808,-0.005338216967450626,0.1158428116781068,0.5532942232201314,primary_fixed
8,44,16,True,False,12,9,3,0.6600936580624793,0.5277561242040713,0.1710899681157844,0.13233753385840807,primary_fixed
9,5,55,False,False,12,1,11,-0.11325855623963346,0.1406778897029776,0.004371313752192331,-0.25393644594261106,primary_fixed
10,25,35,True,False,12,5,7,-0.10550303612617577,-0.30488390967801193,-0.08930828065228098,0.19938087355183615,primary_fixed
11,36,24,True,False,12,7,5,-0.030739655816905125,-0.03581257179855908,-0.018210473968527967,0.005072915981653957,primary_fixed
12,2,58,False,False,12,0,12,,0.4984927571883105,,,primary_fixed
13,56,4,True,True,12,11,1,0.6953568241854207,0.6563003619358764,0.22047092147799943,0.03905646224954429,primary_fixed
14,57,3,True,True,12,12,0,0.30409381411907593,,0.1031658739817382,,primary_fixed
15,37,23,True,False,12,8,4,0.47158388828262565,0.49875847067793366,0.09286899823344522,-0.02717458239530801,primary_fixed
16,28,32,True,False,12,6,6,0.4653592964017503,0.3594411060162604,0.04955461938753869,0.10591819038548989,primary_fixed
17,46,14,True,True,12,9,3,-0.06920680223034939,-0.010755358476033575,-0.0617561777828364,-0.05845144375431582,primary_fixed
18,17,43,True,False,12,3,9,0.38584809839235273,0.20823482384824424,0.13052312190370555,0.1776132745441085,primary_fixed
19,5,55,False,False,12,1,11,-0.21646917033422655,0.17834232593354005,-0.05543820691156156,-0.39481149626776657,primary_fixed
20,35,25,True,False,12,7,5,-0.7130553940730858,-0.9298644398915357,-0.22607073380197204,0.21680904581844984,primary_fixed
21,58,2,True,True,12,11,1,-0.3305725266585824,0.17405953768026858,-0.14126061218263763,-0.504632064338851,primary_fixed
22,60,0,True,True,12,12,0,0.18642069912400794,,0.02720760581593662,,primary_fixed
23,60,0,True,True,12,12,0,-0.29449613075387576,,-0.06824908524179019,,primary_fixed
24,60,0,True,True,12,12,0,-0.192162699547226,,-0.03549972605869794,,primary_fixed
25,60,0,True,True,12,12,0,0.40345774338962825,,0.099744317659072,,primary_fixed
26,35,25,True,False,12,8,4,0.5336782931691179,0.4775396811128957,0.14354929308987596,0.05613861205622217,primary_fixed
27,0,60,False,False,12,0,12,,0.15085588704605082,,,primary_fixed
0,0,60,False,False,12,0,12,,0.14203530820303836,,,primary_expanding
1,0,60,False,False,12,0,12,,0.19268637445381784,,,primary_expanding
2,0,60,False,False,12,0,12,,-0.060563053256682625,,,primary_expanding
3,0,60,False,False,12,0,12,,-0.13460324353571426,,,primary_expanding
4,27,33,True,False,12,5,7,0.2856633387136789,0.4332835879213329,0.11740722285282745,-0.14762024920765404,primary_expanding
5,52,8,True,True,12,11,1,0.25526602743793086,0.1668819617872218,0.0472733059677293,0.08838406565070905,primary_expanding
6,1,59,False,False,12,0,12,,-0.14648344108772318,,,primary_expanding
7,34,26,True,False,12,6,6,0.5479560062526808,-0.005338216967450626,0.1158428116781068,0.5532942232201314,primary_expanding
8,55,5,True,True,12,11,1,0.649100374823337,0.38400717211781954,0.1703492726757475,0.2650932027055175,primary_expanding
