date,day_pos,block,in_primary,in_primary_block,on_fixed,on_expanding,spy_vol20,n_usable,n_topdec,frac_flagged_unadjusted,spread_dgtw,spread_dgtw_w50,spread_raw,volmatched_topdec,refit_cutoff
2017-01-03,0,0,True,True,False,False,0.08909001728111732,264,26,0.28409090909090906,0.48094543906808573,0.15536398743274327,0.6723794925447882,0.6548470486693887,2016-09-30
2017-01-10,5,0,True,True,False,False,0.07555856421959617,264,26,0.2992424242424242,0.10715285398727104,0.010944111499015344,0.13251712134803903,0.18247727317593482,2016-09-30
2017-01-18,10,0,True,True,False,False,0.06011688683613572,264,26,0.303030303030303,0.4350595464196432,0.058476377394246506,0.4664629634319188,0.5400372572868227,2016-09-30
2017-01-25,15,0,True,True,False,False,0.07083162454414882,264,26,0.2727272727272727,0.16480680598447586,-0.01695223429140532,0.12865477342726347,0.23458505803433619,2016-09-30
2017-02-01,20,0,True,True,False,False,0.061276725378293914,264,26,0.3560606060606061,0.021559357933732794,-0.03946268580252716,-0.0691165552706571,-0.02428131302064397,2016-09-30
2017-02-08,25,0,True,True,False,False,0.06031697196875427,264,26,0.31439393939393945,-0.23304498130732854,-0.0485890727012764,-0.09905583156047415,-0.113539711102987,2016-09-30
2017-02-15,30,0,True,True,False,False,0.06364105269882778,264,26,0.33712121212121215,0.016004803363209377,0.0704412398579618,0.03253254013178865,-0.13508566597478702,2016-09-30
2017-02-23,35,0,True,True,False,False,0.053364918360088685,264,26,0.2954545454545454,-0.25069577122427994,-0.022994735955635247,-0.12424061823474704,-0.31329624218519486,2016-09-30
2017-03-02,40,0,True,True,False,False,0.06887934849750045,265,26,0.2754716981132076,0.5991216850314678,0.14446479521903866,0.6239534386759311,0.4373812701824695,2016-09-30
2017-03-09,45,0,True,True,False,False,0.07094828963996247,265,26,0.2075471698113207,0.13488664085807356,-0.010571144276093736,0.008507152362881281,-0.1345075471217352,2016-09-30
2017-03-16,50,0,True,True,False,False,0.07323606059687437,265,26,0.19999999999999996,0.0290116884318233,0.003315393019071286,0.02347493556839188,-0.11817323262487656,2016-09-30
2017-03-23,55,0,True,True,False,False,0.08777136592817623,265,26,0.26792452830188684,0.19961562989028664,-0.00421682219279609,0.2256181783438091,0.06477590901522487,2016-09-30
2017-03-30,60,1,True,True,False,False,0.0729373647660016,265,26,0.24528301886792447,0.3891813205310978,0.10101506843779282,0.5060684381576871,0.34895528805484766,2016-12-30
2017-04-06,65,1,True,True,False,False,0.07329785297223995,265,26,0.2754716981132076,0.5046548540909409,0.09386565163335733,0.5529800418712661,0.4629741273373632,2016-12-30
2017-04-13,70,1,True,True,False,False,0.06649306970379797,266,27,0.2443609022556391,0.5109873493808471,0.17918243681446017,0.6854554075905889,0.49977632545272727,2016-12-30
2017-04-21,75,1,True,True,False,False,0.06536987396197093,266,27,0.3007518796992481,0.2432786631918048,0.02698613940128613,0.3747225969904144,0.22874642819912006,2016-12-30
2017-04-28,80,1,True,True,False,False,0.0741563412704829,266,27,0.24060150375939848,0.57645229933474,0.14236924518884594,0.7526388681423247,0.5099161348655192,2016-12-30
2017-05-05,85,1,True,True,False,False,0.07287665967684347,266,27,0.37593984962406013,0.1926486442497871,0.07376894457948885,0.34786018969824123,0.14431902582357906,2016-12-30
2017-05-12,90,1,True,True,False,False,0.06571399375587718,266,27,0.3270676691729323,0.1695151873850819,0.14030431504645705,0.27119516593689935,0.07993975407182233,2016-12-30
2017-05-19,95,1,True,True,False,False,0.08834376180020707,266,27,0.19172932330827064,0.060850232919661504,0.0401318397955325,0.1236475178265336,0.0006726824333136921,2016-12-30
2017-05-26,100,1,True,True,False,False,0.08043590002775756,266,27,0.20300751879699253,0.02365871432369022,-0.010715957193928663,0.08209672281927179,-0.013770139946443204,2016-12-30
2017-06-05,105,1,True,True,False,False,0.08417714578226196,266,27,0.16541353383458646,-0.23022236836440402,-0.07287728396374506,-0.1924719055131653,-0.1842881444693236,2016-12-30
2017-06-12,110,1,True,True,False,False,0.08452271145320786,266,27,0.1578947368421053,-0.027730247346144873,0.0069993178788742665,0.11645146643241067,-0.07178731376455784,2016-12-30
2017-06-19,115,1,True,True,False,False,0.055947008805495635,266,27,0.15037593984962405,-0.1010381562512885,-0.07350484998568163,0.024912603917578068,-0.1489863044619657,2016-12-30
2017-06-26,120,2,True,True,False,False,0.058420409546769234,266,27,0.14661654135338342,0.22541757544733634,0.07384046391341535,0.2878914725522111,0.14854478800124774,2016-12-30
2017-07-03,125,2,True,True,False,False,0.07373596856035004,266,27,0.22180451127819545,0.8143711358297676,0.1478510142608344,0.9124956418386151,0.6486766858576716,2017-03-31
2017-07-11,130,2,True,True,False,False,0.08367753948372454,266,27,0.25187969924812026,0.15202724018975816,0.05436579668103926,0.2703982381704665,0.03849395902941809,2017-03-31
2017-07-18,135,2,True,True,False,False,0.0805627705441245,267,27,0.3258426966292135,-0.21378943491885766,-0.04752995654313459,-0.1028676273756047,-0.2892720912153272,2017-03-31
2017-07-25,140,2,True,True,False,False,0.07847991279183553,267,27,0.32958801498127344,0.23250548689803796,0.0094532820549496,0.2769187191087726,0.16281048331957296,2017-03-31
2017-08-01,145,2,True,True,False,False,0.055924720078996806,267,27,0.28464419475655434,0.04328511515481157,-0.03708112028616626,0.00903063104931714,-0.05650843180682053,2017-03-31
2017-08-08,150,2,True,True,False,False,0.03995582061277345,267,27,0.34456928838951306,-0.23280715866360904,-0.04873864727237314,-0.25803894125795923,-0.25256048637190237,2017-03-31
2017-08-15,155,2,True,True,False,False,0.06906896854843993,267,27,0.36704119850187267,-0.43429255270319095,-0.1202249833279859,-0.36313412718584814,-0.4290802853888458,2017-03-31
2017-08-22,160,2,True,True,False,False,0.09494278229665269,267,27,0.3595505617977528,-0.28522002992920026,-0.13602353943235157,-0.21471784824258952,-0.23361135115435872,2017-03-31
2017-08-29,165,2,True,True,False,False,0.09603962340689833,267,27,0.30711610486891383,-0.2968644351422373,-0.09240423484994978,-0.24088095907629692,-0.3461189009712984,2017-03-31
2017-09-06,170,2,True,True,False,False,0.10346396669570924,267,27,0.34456928838951306,-0.2625983015259103,-0.0801558853036374,-0.314516554081856,-0.252720606323213,2017-03-31
2017-09-13,175,2,True,True,False,False,0.09089109215751796,267,27,0.32958801498127344,-0.4687912797168977,-0.13408356528931267,-0.5306076067314296,-0.4529230643472011,2017-03-31
2017-09-20,180,3,True,True,False,False,0.06058242029439595,267,27,0.36329588014981273,-0.20309785008090622,-0.05348827606646768,-0.3351923243009057,-0.25560085945390915,2017-03-31
2017-09-27,185,3,True,True,False,False,0.06026865477129526,267,27,0.3033707865168539,-0.3407495679456361,-0.20747785890212295,-0.36446634980529957,-0.3642861292430099,2017-06-30
2017-10-04,190,3,True,True,False,False,0.04877682523142067,267,27,0.21722846441947563,-0.5290538084252603,-0.235513733961943,-0.5372061176010254,-0.5452609968240449,2017-06-30
2017-10-11,195,3,True,True,False,False,0.03892544751310545,267,27,0.2471910112359551,-0.47758130817144645,-0.24731447517175317,-0.4066226283338918,-0.5204873228942414,2017-06-30
2017-10-18,200,3,True,True,False,False,0.035654266424757594,267,27,0.25093632958801493,-0.4128358087536973,-0.19614219815720185,-0.34759857038870806,-0.46735632317909187,2017-06-30
2017-10-25,205,3,True,True,False,False,0.04337481036612148,268,27,0.19029850746268662,-0.26414781035121554,-0.13883852148348086,-0.13198318142418503,-0.2895804701353148,2017-06-30
2017-11-01,210,3,True,True,False,False,0.051106939236531014,268,27,0.20895522388059706,-0.04242731256112499,-0.03252410536046915,0.039742216358723194,-0.0823633213759532,2017-06-30
