job,stdout_dir,dated_files_in_dir,dir_is_shared,named_for_this_job,method_A_wrapper_regex,method_B_dir_scan
com.renquant.agent-pr-loop,/Users/renhao/git/github/RenQuant/logs/agent_pr_loop,0,False,0,,
com.renquant.conditional-retrain104,/Users/renhao/git/github/RenQuant/logs/conditional_retrain_104,58,True,0,,
com.renquant.crypto-session,/Users/renhao/Library/Logs/renquant,0,False,0,,
com.renquant.retrain-panel104,/Users/renhao/git/github/RenQuant/logs/retrain_panel,19,True,0,,
com.renquant.rq104-degradation-sentinel,/Users/renhao/git/github/RenQuant/logs/rq104,30,True,0,,
com.renquant.rq104-scorer-identity,/Users/renhao/git/github/RenQuant/logs/rq104,30,True,20,,
com.renquant.rq104-shadow-scorer-sentinel,/Users/renhao/git/github/RenQuant/logs,8,True,0,,
com.renquant.rq105-batch-scores-export,/Users/renhao/git/github/RenQuant/logs/rq105,89,True,3,,
com.renquant.rq105-liveness,/Users/renhao/git/github/RenQuant/logs/rq105,89,True,0,,
com.renquant.rq105-shadow-serving,/Users/renhao/git/github/RenQuant/logs/rq105,89,True,3,,
com.renquant.run-surface-drift,/Users/renhao/git/github/RenQuant/logs/rq104,30,True,0,,
com.renquant.shadow-ab-daily,/Users/renhao/renquant-shadow-ab/logs,18,True,0,,
com.renquant.weekly-apy104,/Users/renhao/git/github/RenQuant/logs/live_104,22,True,0,,
com.renquant.weekly-wf-promote,/Users/renhao/git/github/RenQuant/logs/weekly_wf_promote,52,True,1,,
