label,std_out_path,present,why,sha256,bytes,mtime,n_nonblank_lines,n_self_timestamped,frac_self_timestamped,plist_path,plist_sha256
com.renquant.agent-pr-loop,/Users/renhao/git/github/RenQuant/logs/agent_pr_loop/launchd_stdout.log,True,,276a80975df30cced71c6bd1dc2e80e3059b249371626cbf28d3007ea8d116a8,367303,2026-07-31T07:23:55,7983,0,0.0,/Users/renhao/Library/LaunchAgents/com.renquant.agent-pr-loop.plist,1a0434c63540845d7cc3637760c27a5c59c802d7290990535cc99e8150fcfcb9
com.renquant.backup,/Users/renhao/git/github/RenQuant/logs/backup/launchd_stdout.log,True,,17e5f0209e34ba3dba6011e74d8ac98d7a14417f794249342a39bbd9d3c3621a,258176,2026-07-31T07:00:18,1354,0,0.0,/Users/renhao/Library/LaunchAgents/com.renquant.backup.plist,9e8e52e66842dc39d3426d5e7968fb15d1f15c2492ea3fb4c62178843289e1b3
com.renquant.conditional-retrain104,/Users/renhao/git/github/RenQuant/logs/conditional_retrain_104/stdout.log,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-05-12T13:10:04,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.conditional-retrain104.plist,e5ea6a3addc7684a5e006b9afbd5f2ba6e02afd88d26c447fb8924bb747a2c65
com.renquant.crypto-session,/Users/renhao/Library/Logs/renquant/crypto-session.log,True,,f43202e2a458a9500f4cf10585f8e218f6db0ec7fe7280b3a28ef4f9921cd1a0,1249,2026-07-13T00:48:23,1,0,0.0,/Users/renhao/Library/LaunchAgents/com.renquant.crypto-session.plist,8d8390bcc2eaf1cc996ed2b91c26643cb6c179338bb6c5a4c69d27200567d840
com.renquant.daily-iv-snapshot,/Users/renhao/git/github/RenQuant/logs/iv_snapshot/launchd_stdout.log,True,,15f3646c1ca0af734ccd713137e0aef7e160d2aa628da5c17b7ea6b54959c198,1565109,2026-07-30T13:31:13,34133,4,0.0001,/Users/renhao/Library/LaunchAgents/com.renquant.daily-iv-snapshot.plist,6ecfd4d361f81066b4902c6d36baff0e2bbd45c21cd5b66596781a418a5d6301
com.renquant.daily-news-sentiment,/Users/renhao/git/github/RenQuant/logs/news_daily/launchd_stdout.log,True,,62ab552d11f18dfa7ab173e271e4a3ce7c0c5bdb1dfded6c67b3f77bb365c5a3,4164042,2026-07-31T06:45:41,81004,686,0.0085,/Users/renhao/Library/LaunchAgents/com.renquant.daily-news-sentiment.plist,692845f5d9795fbd52130f4b2d9af87e523f6e6e068449dc995b5fd782d70b31
com.renquant.daily103,/Users/renhao/git/github/RenQuant/logs/daily_103/launchd_stdout.log,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-04-13T14:09:10,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.daily103.plist,0b984c960dad28182ecddcdf6721615f1b3a65a5850ebae5644e80df9f18098a
com.renquant.daily104,/Users/renhao/git/github/RenQuant/logs/daily_104/launchd_stdout.log,True,,d48cbf9a13c47716c0554ffee6c7d6e267a8791b8576d4918ca4e86f7abd01e7,82,2026-07-16T13:55:04,1,0,0.0,/Users/renhao/Library/LaunchAgents/com.renquant.daily104.plist,98f89bf9ece787c77091885c981d31425c2468c67d130f5e330224ffa68de070
com.renquant.intraday104,/Users/renhao/git/github/RenQuant/logs/intraday_104/launchd_stdout.log,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-04-22T11:30:05,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.intraday104.plist,05422f0c4e60fa698fcd58b46056837ef73ae6404a9c1b2b243826191c0329f9
com.renquant.monthly-calibrator-refresh,/Users/renhao/git/github/RenQuant/logs/monthly_calibrator/stdout.log,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-06-01T03:00:05,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.monthly-calibrator-refresh.plist,c8bf8900287ce633f70023cc8a4103a1ed7903b1dd559949237f3578edbfaa00
com.renquant.monthly-meta-label-retrain,/Users/renhao/git/github/RenQuant/logs/monthly_meta_label/stdout.log,True,,da4c3fa21085aab5c8677a1f0a7819daa64a8eed55b9cb1a441b9d6e58a4a9a7,265,2026-07-01T03:30:02,4,3,0.75,/Users/renhao/Library/LaunchAgents/com.renquant.monthly-meta-label-retrain.plist,f43e6886f33405f591d5259808f2479771cbd136142f7af4a80471b76dc7304c
com.renquant.open103,/Users/renhao/git/github/RenQuant/logs/live_103/launchd_open_stdout.log,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-04-15T06:37:01,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.open103.plist,dc568feafd87af9355c317eebaf0d5e477e2ed923a9f04c1f2ba5931e2b7d38e
com.renquant.pit-c1-features,/Users/renhao/git/github/RenQuant/logs/pit_snapshots/launchd_c1-features.out,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-07-06T15:30:00,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.pit-c1-features.plist,b1c1067eb297c8b7cab41c3e21a9f573878512dcc7e230b460a3efaf4ab8b7fb
com.renquant.pit-estimate-snapshot,/Users/renhao/git/github/RenQuant/logs/pit_snapshots/launchd_estimate-snapshot.out,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-07-02T14:30:00,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.pit-estimate-snapshot.plist,c6e8b506ac929a35dc64f47c917466b172b5ec5193bc6ae9f0f419aab71284f0
com.renquant.pit-liveness,/Users/renhao/git/github/RenQuant/logs/pit_snapshots/launchd_pit-liveness.out,True,,86466ff428904eef56f8420d37a47053d9f781ec3020f66add0cef930ad76173,1233,2026-07-30T15:00:04,21,0,0.0,/Users/renhao/Library/LaunchAgents/com.renquant.pit-liveness.plist,ea221bc229035e9ff42a80f76e729c65a31ea509ead2d7d874230ade69a8e210
com.renquant.preclose103,/Users/renhao/git/github/RenQuant/logs/live_103/launchd_preclose_stdout.log,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-04-15T12:44:04,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.preclose103.plist,0f5aab7973222344d10a49b8b5205b7f3066a7fb953ef1cfa800e8bb42e69399
com.renquant.preopen-cancel-gate,/Users/renhao/git/github/RenQuant/logs/preopen_gate/stdout.log,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-06-02T06:15:04,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.preopen-cancel-gate.plist,9ef4c1b00c73086517f3d18e5f0faa61b50ec73a143d7409833c4704a170aa48
com.renquant.retrain-alpha158-linear,/Users/renhao/git/github/RenQuant/logs/retrain_alpha158_linear/launchd_stdout.log,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-05-18T03:00:02,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.retrain-alpha158-linear.plist,4a831bb36a11e21b910de901bec40fc133365f24a0496bf3ad5f95babcc65a78
com.renquant.retrain-panel104,/Users/renhao/git/github/RenQuant/logs/retrain_panel/launchd_stdout.log,True,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2026-04-26T10:00:05,0,0,,/Users/renhao/Library/LaunchAgents/com.renquant.retrain-panel104.plist,a5851cc6cd3731b4c40b87e85436495054c602a413c5ca9f6b380ed2976f711d
com.renquant.rq104-blend-readout,/Users/renhao/git/github/RenQuant/logs/rq104_blend_readout.log,True,,987c1d424120c17eb48e6cc6328dd9489b95c8ffa3d4fde06a8d53f8e57a1793,489,2026-07-30T15:21:31,6,0,0.0,/Users/renhao/Library/LaunchAgents/com.renquant.rq104-blend-readout.plist,5caf4d5adedad1139bf786f69c81d966e5b96c24bfdbe2f3e0353435ca303318
com.renquant.rq104-dawn-preflight,/Users/renhao/git/github/RenQuant/logs/rq104/launchd_dawn_preflight.out,True,,1a158d1c773d7ba68821e3ac79377e3118583eba627269dae440529fd4d9f7f2,2070,2026-07-31T06:05:34,15,0,0.0,/Users/renhao/Library/LaunchAgents/com.renquant.rq104-dawn-preflight.plist,fe137b94610aa893212966cf27a36f2f1992dce44d661b6c24f40d740d06eb73
com.renquant.rq104-degradation-sentinel,/Users/renhao/git/github/RenQuant/logs/rq104/launchd_degradation_sentinel.out,True,,f4af1f824a65b80d8e1faae68ee7970f930c3b68e72a13796c6cdb35b47d0e20,17156,2026-07-30T15:00:05,55,0,0.0,/Users/renhao/Library/LaunchAgents/com.renquant.rq104-degradation-sentinel.plist,4da8e1738d77f88d1720228425de65a97d983cd289715b916a5385efb333e706
com.renquant.rq104-liveness,/Users/renhao/git/github/RenQuant/logs/rq104/launchd_liveness.out,True,,594e9cc684935fe532d82cf392774cc33ecd8ffa501a6797d75b0c324039c8ad,1327,2026-07-30T18:00:05,25,0,0.0,/Users/renhao/Library/LaunchAgents/com.renquant.rq104-liveness.plist,49795c5ee655e49be7a3083a800aada6f5e3c6f592d37ed6cea3cbf595351490
com.renquant.rq104-risk-budget,/Users/renhao/git/github/RenQuant/logs/rq104/launchd_risk_budget.out,False,declared path does not exist,,,,,,,/Users/renhao/Library/LaunchAgents/com.renquant.rq104-risk-budget.plist,0d22997ec64bf92350df1877ad1a6bafdc3499aa0954b4dc547141a4437b47bd
