job,last_exit,layer,file,file_present,n_nonblank_lines,n_self_timestamped,frac_self_timestamped
com.renquant.agent-pr-loop,1,launchd_stdout,launchd_stdout.log,True,7957,0,0.0
com.renquant.conditional-retrain104,1,launchd_stdout,stdout.log,True,0,0,
com.renquant.crypto-session,2,launchd_stdout,crypto-session.log,True,1,0,0.0
com.renquant.retrain-panel104,1,launchd_stdout,launchd_stdout.log,True,0,0,
com.renquant.rq104-degradation-sentinel,1,launchd_stdout,launchd_degradation_sentinel.out,True,55,0,0.0
com.renquant.rq104-scorer-identity,2,launchd_stdout,launchd_scorer_identity.out,True,0,0,
com.renquant.rq104-shadow-scorer-sentinel,1,launchd_stdout,rq104_shadow_scorer_sentinel.log,True,8,0,0.0
com.renquant.rq105-batch-scores-export,1,launchd_stdout,launchd_batch-scores-export.out,True,8,0,0.0
com.renquant.rq105-liveness,1,launchd_stdout,launchd_liveness.out,True,26,0,0.0
com.renquant.rq105-shadow-serving,1,launchd_stdout,launchd_shadow-serving.out,True,0,0,
com.renquant.run-surface-drift,1,launchd_stdout,launchd_run_surface_drift.out,True,18,0,0.0
com.renquant.shadow-ab-daily,3,launchd_stdout,launchd.out.log,True,0,0,
com.renquant.weekly-apy104,2,launchd_stdout,weekly_apy_stdout.log,True,6,0,0.0
com.renquant.weekly-wf-promote,1,launchd_stdout,stdout.log,True,0,0,
,,dated_wrapper_log,2026-07-31.log,True,20,12,0.6
,,dated_wrapper_log,c1_features_2026-07-30.log,True,107,0,0.0
,,dated_wrapper_log,2026-07-30.log,True,527,314,0.5958
,,dated_wrapper_log,2026-07-30_shadow_blend.log,True,325,324,0.9969
,,dated_wrapper_log,2026-07-30_shadow.log,True,297,270,0.9091
,,dated_wrapper_log,2026-07-30_session.log,True,3,0,0.0
,,dated_wrapper_log,estimate_snapshot_2026-07-30.log,True,19,0,0.0
,,dated_wrapper_log,scorer_identity_2026-07-30.log,True,6,0,0.0
,,dated_wrapper_log,2026-07-30.log,True,1842,16,0.0087
,,dated_wrapper_log,quote_logger_2026-07-30.log,True,9,1,0.1111
,,dated_wrapper_log,2026-07-30.log,True,7,3,0.4286
,,dated_wrapper_log,2026-07-30.log,True,498,78,0.1566
,,dated_wrapper_log,entry_timing_shadow_2026-07-30.log,True,9,0,0.0
,,dated_wrapper_log,intraday_pairing_logger_2026-07-30.log,True,13,0,0.0
